Edad	Dq	thinning	varname	zone	cal
1	0.401861644080159	M8	Dq	1	26
2	3.60595940313138	M8	Dq	1	26
3	7.84645788276395	M8	Dq	1	26
4	11.7479330825364	M8	Dq	1	26
5	15.0681995960214	M8	Dq	1	26
6	17.852934113012	M8	Dq	1	26
7	20.1962103539853	M8	Dq	1	26
8	22.1851132010654	M8	Dq	1	26
9	23.8900291274428	M8	Dq	1	26
10	25.3657965449226	M8	Dq	1	26
11	26.6548493486039	M8	Dq	1	26
12	27.7901626633983	M8	Dq	1	26
13	28.797582186916	M8	Dq	1	26
14	29.6975720060181	M8	Dq	1	26
15	30.5065054234446	M8	Dq	1	26
16	31.2376171106224	M8	Dq	1	26
17	31.9017091601337	M8	Dq	1	26
18	32.5076789769714	M8	Dq	1	26
19	33.0629177312953	M8	Dq	1	26
20	33.5736141024029	M8	Dq	1	26
21	34.0449881170166	M8	Dq	1	26
22	34.4814729007601	M8	Dq	1	26
23	34.8868572458683	M8	Dq	1	26
24	35.2643984216575	M8	Dq	1	26
25	35.6169121781829	M8	Dq	1	26
26	35.9468451153676	M8	Dq	1	26
27	36.2563333016912	M8	Dq	1	26
28	36.5472500849141	M8	Dq	1	26
29	36.8212453429064	M8	Dq	1	26
30	37.0797779060762	M8	Dq	1	26
31	37.3241424953745	M8	Dq	1	26
32	37.555492226771	M8	Dq	1	26
33	37.774857509712	M8	Dq	1	26
34	37.9831619955326	M8	Dq	1	26
35	38.1812360991269	M8	Dq	1	26
35	0	M8	Dq	1	26
