Edad	Dm	thinning	varname	zone	cal
1	0.401850628650897	M8	Dm	1	26
2	3.60318794513961	M8	Dm	1	26
3	7.82846957152269	M8	Dm	1	26
4	11.7010939247406	M8	Dm	1	26
5	14.9836082969141	M8	Dm	1	26
6	17.7258366677077	M8	Dm	1	26
7	20.0244991380262	M8	Dm	1	26
8	21.9682598173853	M8	Dm	1	26
9	23.6284425231603	M8	Dm	1	26
10	25.0604460084778	M8	Dm	1	26
11	26.3070386923606	M8	Dm	1	26
12	27.4013903471926	M8	Dm	1	26
13	28.369451626586	M8	Dm	1	26
14	29.2317323782212	M8	Dm	1	26
15	30.0046118240992	M8	Dm	1	26
16	30.7013035075606	M8	Dm	1	26
17	31.3325701005902	M8	Dm	1	26
18	31.9072574463189	M8	Dm	1	26
19	32.432697413049	M8	Dm	1	26
20	32.9150148209088	M8	Dm	1	26
21	33.3593635904404	M8	Dm	1	26
22	33.7701101670888	M8	Dm	1	26
23	34.1509772899672	M8	Dm	1	26
24	34.5051576509334	M8	Dm	1	26
25	34.8354044825937	M8	Dm	1	26
26	35.1441043135351	M8	Dm	1	26
27	35.4333358247765	M8	Dm	1	26
28	35.7049177878652	M8	Dm	1	26
29	35.9604483616358	M8	Dm	1	26
30	36.2013375012312	M8	Dm	1	26
31	36.4288338402322	M8	Dm	1	26
32	36.6440471096296	M8	Dm	1	26
33	36.847966930891	M8	Dm	1	26
34	37.0414786464394	M8	Dm	1	26
35	37.2253767163523	M8	Dm	1	26
35	0	M8	Dm	1	26
