Edad	VCC20	VCC7	thinning	varname	zone	cal
1	0	0	M8	VC	1	26
2	0	0	M8	VC	1	26
3	0	4.02124076426838	M8	VC	1	26
4	0	30.69243118052	M8	VC	1	26
5	0	79.6109755407005	M8	VC	1	26
6	0.793165251236106	119.540744065977	M8	VC	1	26
7	28.0695100224598	185.953219286907	M8	VC	1	26
8	63.2018474720338	236.09671987352	M8	VC	1	26
9	145.118493776324	329.121373415754	M8	VC	1	26
10	215.743117481675	403.477718006385	M8	VC	1	26
11	293.318587708458	485.408079234494	M8	VC	1	26
12	369.40028609539	564.126924220697	M8	VC	1	26
13	438.733625249446	631.987973381551	M8	VC	1	26
14	513.774831415121	707.544306967896	M8	VC	1	26
15	591.992009711201	787.362913770309	M8	VC	1	26
16	666.705690892618	862.368125705307	M8	VC	1	26
17	735.634621915771	931.23424645862	M8	VC	1	26
18	798.930072948026	993.769964031681	M8	VC	1	26
19	866.340028116361	1061.56269441076	M8	VC	1	26
20	929.984358998811	1125.44016429078	M8	VC	1	26
21	988.972158962157	1184.5733595601	M8	VC	1	26
22	1045.19403774016	1240.4981828984	M8	VC	1	26
23	1097.2603951365	1292.09215105753	M8	VC	1	26
24	1146.78008733895	1340.8067475158	M8	VC	1	26
25	1190.73831713027	1384.33930578838	M8	VC	1	26
26	1237.49349892039	1430.12103787364	M8	VC	1	26
27	1283.68923510444	1476.73102277059	M8	VC	1	26
28	1330.33527216886	1523.31417744448	M8	VC	1	26
29	1371.7422552988	1565.02080288325	M8	VC	1	26
30	1414.53471567471	1607.56965400158	M8	VC	1	26
31	1452.78303949121	1645.90225455812	M8	VC	1	26
32	1489.25542783238	1682.32729724157	M8	VC	1	26
33	1525.9826532558	1718.75549074639	M8	VC	1	26
34	1557.32786537291	1750.1839949616	M8	VC	1	26
35	1591.18322314096	1783.54197256993	M8	VC	1	26
35	0	0	M8	VC	1	26
