Edad	Dq	thinning	varname	zone	cal
1	0.0970903202421934	M8	Dq	0	26
2	1.75368390595816	M8	Dq	0	26
3	4.88944262251693	M8	Dq	0	26
4	8.32597109511085	M8	Dq	0	26
5	11.561141874238	M8	Dq	0	26
6	14.4587429355237	M8	Dq	0	26
7	17.0124813839193	M8	Dq	0	26
8	19.2559624694907	M8	Dq	0	26
9	21.2310943484943	M8	Dq	0	26
10	22.9775668731146	M8	Dq	0	26
11	24.5298865359911	M8	Dq	0	26
12	25.9170776227113	M8	Dq	0	26
13	27.1632490848003	M8	Dq	0	26
14	28.2883635567337	M8	Dq	0	26
15	29.3089742589909	M8	Dq	0	26
16	30.2388592148339	M8	Dq	0	26
17	31.0895433022665	M8	Dq	0	26
18	31.8707195644369	M8	Dq	0	26
19	32.5905864912123	M8	Dq	0	26
20	33.2561175077084	M8	Dq	0	26
21	33.8732766037691	M8	Dq	0	26
22	34.4471914439589	M8	Dq	0	26
23	34.9822929552084	M8	Dq	0	26
24	35.4824284453388	M8	Dq	0	26
25	35.9509537547805	M8	Dq	0	26
26	36.3908087304427	M8	Dq	0	26
27	36.8045793703372	M8	Dq	0	26
28	37.1945492614845	M8	Dq	0	26
29	37.5627423732143	M8	Dq	0	26
30	37.9109588346514	M8	Dq	0	26
31	38.2408049891335	M8	Dq	0	26
32	38.5537187566796	M8	Dq	0	26
33	38.8509911310704	M8	Dq	0	26
34	39.1337844774172	M8	Dq	0	26
35	39.4031481692715	M8	Dq	0	26
35	0	M8	Dq	0	26
