Edad	VCC20	VCC7	thinning	varname	zone	cal
1	0	0	M8	VC	1	16
2	0	0	M8	VC	1	16
3	0	0	M8	VC	1	16
4	0	0	M8	VC	1	16
5	0	3.34708745574524	M8	VC	1	16
6	0	4.44518707772158	M8	VC	1	16
7	0	20.80516471115	M8	VC	1	16
8	0	30.1126403411799	M8	VC	1	16
9	0	46.528614479603	M8	VC	1	16
10	0.109291072148706	75.2916985423173	M8	VC	1	16
11	2.33479848663079	95.7092354175279	M8	VC	1	16
12	8.83889993440674	122.161387208826	M8	VC	1	16
13	18.2942488424683	149.983110116817	M8	VC	1	16
14	31.6308184449058	174.687958817559	M8	VC	1	16
15	50.1391773915277	201.201537868739	M8	VC	1	16
16	74.4556874355586	235.274924401353	M8	VC	1	16
17	100.735378812793	269.019249659759	M8	VC	1	16
18	127.734845911393	301.482388677501	M8	VC	1	16
19	154.948944118015	331.997706071077	M8	VC	1	16
20	183.750775788702	363.861427342771	M8	VC	1	16
21	213.425823175701	397.443145551307	M8	VC	1	16
22	243.508187745135	430.557162912007	M8	VC	1	16
23	272.490134780054	461.537307816371	M8	VC	1	16
24	301.336326517561	491.67556190945	M8	VC	1	16
25	328.609407883489	519.657159724228	M8	VC	1	16
26	355.615483700557	546.824177694714	M8	VC	1	16
27	381.374303430593	572.453096991999	M8	VC	1	16
28	411.250877635233	603.968388457441	M8	VC	1	16
29	439.048743299473	633.127936658702	M8	VC	1	16
30	468.795603226714	663.468663427731	M8	VC	1	16
31	495.453974693001	691.107084700299	M8	VC	1	16
32	521.822117501063	718.101952716002	M8	VC	1	16
33	546.906342623655	743.852221093284	M8	VC	1	16
34	571.645947855777	768.764133225478	M8	VC	1	16
35	596.538514766864	793.719093558819	M8	VC	1	16
35	0	0	M8	VC	1	16
