Edad	Altura.dominante	thinning	varname	zone	cal
1	0.561035919595055	M8	Hdom	1	21
2	1.52955553284348	M8	Hdom	1	21
3	2.70131331732137	M8	Hdom	1	21
4	3.98625830885311	M8	Hdom	1	21
5	5.32688006987733	M8	Hdom	1	21
6	6.68367276728143	M8	Hdom	1	21
7	8.02911177767066	M8	Hdom	1	21
8	9.34422706992466	M8	Hdom	1	21
9	10.6163148551866	M8	Hdom	1	21
10	11.8372882855985	M8	Hdom	1	21
11	13.0024490319368	M8	Hdom	1	21
12	14.1095616151657	M8	Hdom	1	21
13	15.1581548324009	M8	Hdom	1	21
14	16.1489963740996	M8	Hdom	1	21
15	17.0837000673619	M8	Hdom	1	21
16	17.9644345122264	M8	Hdom	1	21
17	18.7937089093366	M8	Hdom	1	21
18	19.5742173482828	M8	Hdom	1	21
19	20.3087271218403	M8	Hdom	1	21
20	21	M8	Hdom	1	21
21	21.6507380249425	M8	Hdom	1	21
22	22.2635474238045	M8	Hdom	1	21
23	22.8409158034623	M8	Hdom	1	21
24	23.3851989915288	M8	Hdom	1	21
25	23.8986148019266	M8	Hdom	1	21
26	24.3832416968977	M8	Hdom	1	21
27	24.84102084146	M8	Hdom	1	21
28	25.2737604411919	M8	Hdom	1	21
29	25.6831415507816	M8	Hdom	1	21
30	26.0707247628437	M8	Hdom	1	21
31	26.4379573522707	M8	Hdom	1	21
32	26.7861805747101	M8	Hdom	1	21
33	27.1166369091388	M8	Hdom	1	21
34	27.4304771019178	M8	Hdom	1	21
35	27.7287669191349	M8	Hdom	1	21
35	0	M8	Hdom	1	21
