Edad	Dm	thinning	varname	zone	cal
1	2.7771755820552e-05	M8	Dm	1	7
2	0.0194777497497687	M8	Dm	1	7
3	0.193380413543379	M8	Dm	1	7
4	0.633650174796106	M8	Dm	1	7
5	1.3153863618207	M8	Dm	1	7
6	2.16210024895463	M8	Dm	1	7
7	3.1022813795522	M8	Dm	1	7
8	4.08333536274124	M8	Dm	1	7
9	5.0701807337499	M8	Dm	1	7
10	6.04071019108496	M8	Dm	1	7
11	6.98168278164965	M8	Dm	1	7
12	7.88569877374674	M8	Dm	1	7
13	8.74912831221194	M8	Dm	1	7
14	9.57073541475849	M8	Dm	1	7
15	10.3507758629603	M8	Dm	1	7
16	11.0904093859151	M8	Dm	1	7
17	11.7913181221309	M8	Dm	1	7
18	12.4554600908162	M8	Dm	1	7
19	13.0849110789078	M8	Dm	1	7
20	13.6817645265722	M8	Dm	1	7
21	14.2480695086467	M8	Dm	1	7
22	14.7857937378392	M8	Dm	1	7
23	15.2968029631065	M8	Dm	1	7
24	15.7828510477672	M8	Dm	1	7
25	16.2455769282743	M8	Dm	1	7
26	16.6865059234931	M8	Dm	1	7
27	17.1070537092048	M8	Dm	1	7
28	17.5085318378611	M8	Dm	1	7
29	17.892154063383	M8	Dm	1	7
30	18.2590429866647	M8	Dm	1	7
31	18.6102367100839	M8	Dm	1	7
32	18.9466953057851	M8	Dm	1	7
33	19.2693069808664	M8	Dm	1	7
34	19.5788938750568	M8	Dm	1	7
35	19.8762174612585	M8	Dm	1	7
35	0	M8	Dm	1	7
