Edad	Dq	thinning	varname	zone	cal
1	0.0222328927546054	M8	Dq	0	21
2	0.777422902453171	M8	Dq	0	21
3	2.73915426906748	M8	Dq	0	21
4	5.26699396273376	M8	Dq	0	21
5	7.88265221288356	M8	Dq	0	21
6	10.374666278489	M8	Dq	0	21
7	12.6688065198595	M8	Dq	0	21
8	14.7507370672929	M8	Dq	0	21
9	16.6303432801815	M8	Dq	0	21
10	18.3260898204437	M8	Dq	0	21
11	19.8583097832826	M8	Dq	0	21
12	21.2464457562171	M8	Dq	0	21
13	22.5080426301617	M8	Dq	0	21
14	23.6585092459554	M8	Dq	0	21
15	24.7112040191099	M8	Dq	0	21
16	25.6776422050828	M8	Dq	0	21
17	26.5677338319324	M8	Dq	0	21
18	27.3900131055861	M8	Dq	0	21
19	28.1518442147863	M8	Dq	0	21
20	28.8595995360728	M8	Dq	0	21
21	29.5188111003475	M8	Dq	0	21
22	30.1342980906099	M8	Dq	0	21
23	30.7102736690212	M8	Dq	0	21
24	31.2504343447677	M8	Dq	0	21
25	31.758034761689	M8	Dq	0	21
26	32.2359503814698	M8	Dq	0	21
27	32.6867301435145	M8	Dq	0	21
28	33.1126408285803	M8	Dq	0	21
29	33.5157045493734	M8	Dq	0	21
30	33.8977305368278	M8	Dq	0	21
31	34.2603421806609	M8	Dq	0	21
32	34.6050001106965	M8	Dq	0	21
33	34.9330219650844	M8	Dq	0	21
34	35.2455993773031	M8	Dq	0	21
35	35.5438126208551	M8	Dq	0	21
35	0	M8	Dq	0	21
