Edad	Dq	thinning	varname	zone	cal
20	35.5607973453634	M2	Dq	0	26
21	36.2683830140657	M2	Dq	0	26
22	36.9272164073184	M2	Dq	0	26
22	40.0913243197863	M2	Dq	0	26
23	40.862383299083	M2	Dq	0	26
24	41.5855778772563	M2	Dq	0	26
25	42.2652493820807	M2	Dq	0	26
26	42.9052344898817	M2	Dq	0	26
27	43.50893511669	M2	Dq	0	26
28	44.0793773381682	M2	Dq	0	26
29	44.6192612108156	M2	Dq	0	26
30	45.1310030348444	M2	Dq	0	26
30	52.4601436012776	M2	Dq	0	26
31	53.286864904125	M2	Dq	0	26
32	54.0764713848664	M2	Dq	0	26
33	54.8314025177457	M2	Dq	0	26
34	55.5538927799481	M2	Dq	0	26
35	56.2459919739969	M2	Dq	0	26
36	56.9095833217361	M2	Dq	0	26
37	57.5463995802585	M2	Dq	0	26
38	58.1580374056674	M2	Dq	0	26
39	58.745970166636	M2	Dq	0	26
40	59.3115593872116	M2	Dq	0	26
40	0	M2	Dq	0	26
1	7.92498771539618e-06	M2	Dq	0	7
2	0.00981828018342966	M2	Dq	0	7
3	0.122455529796507	M2	Dq	0	7
4	0.453860231723735	M2	Dq	0	7
5	1.01809760703311	M2	Dq	0	7
6	1.76536524051858	M2	Dq	0	7
7	2.63438271881331	M2	Dq	0	7
8	3.57338247766025	M2	Dq	0	7
9	4.54409390893353	M2	Dq	0	7
10	5.52001916473801	M2	Dq	0	7
11	6.48357609678912	M2	Dq	0	7
12	7.42354335357378	M2	Dq	0	7
13	8.33310514010667	M2	Dq	0	7
14	9.20844491176243	M2	Dq	0	7
14	9.64572444143	M2	Dq	0	7
15	10.5573193258711	M2	Dq	0	7
16	11.4318083225738	M2	Dq	0	7
17	12.2691376680665	M2	Dq	0	7
18	13.0699447915996	M2	Dq	0	7
19	13.8353087018117	M2	Dq	0	7
20	14.5665776662888	M2	Dq	0	7
21	15.2652507191328	M2	Dq	0	7
22	15.9328966943987	M2	Dq	0	7
22	17.6926134708406	M2	Dq	0	7
23	18.4391534149063	M2	Dq	0	7
24	19.1544893457044	M2	Dq	0	7
25	19.8401721908149	M2	Dq	0	7
26	20.497716914726	M2	Dq	0	7
27	21.1285870979851	M2	Dq	0	7
28	21.7341854380225	M2	Dq	0	7
29	22.3158484405591	M2	Dq	0	7
30	22.8748440557737	M2	Dq	0	7
30	26.8737790420328	M2	Dq	0	7
31	27.6448308066919	M2	Dq	0	7
32	28.3903616417451	M2	Dq	0	7
33	29.1114384378238	M2	Dq	0	7
34	29.809094186183	M2	Dq	0	7
35	30.4843247996441	M2	Dq	0	7
36	31.1380872455058	M2	Dq	0	7
37	31.7712986641581	M2	Dq	0	7
38	32.3848362224434	M2	Dq	0	7
39	32.9795375087042	M2	Dq	0	7
40	33.5562013210613	M2	Dq	0	7
40	0	M2	Dq	0	7
1	0.00102862063694314	M2	Dq	1	11
2	0.134540582809544	M2	Dq	1	11
3	0.756517135054094	M2	Dq	1	11
4	1.85418484923069	M2	Dq	1	11
5	3.22296249968606	M2	Dq	1	11
6	4.69717131396506	M2	Dq	1	11
7	6.17731724931563	M2	Dq	1	11
8	7.61032268711672	M2	Dq	1	11
9	8.97063251812206	M2	Dq	1	11
10	10.248085110491	M2	Dq	1	11
11	11.4408493002585	M2	Dq	1	11
12	12.5514364165828	M2	Dq	1	11
13	13.5844738761276	M2	Dq	1	11
14	14.5454724246432	M2	Dq	1	11
14	15.5190205876531	M2	Dq	1	11
15	16.5096007475285	M2	Dq	1	11
16	17.4348231931377	M2	Dq	1	11
17	18.3000472353675	M2	Dq	1	11
18	19.1102901460743	M2	Dq	1	11
19	19.8701787908646	M2	Dq	1	11
20	20.5839408758007	M2	Dq	1	11
21	21.2554178334448	M2	Dq	1	11
22	21.8880887742924	M2	Dq	1	11
22	23.8531219879375	M2	Dq	1	11
23	24.5661287225338	M2	Dq	1	11
24	25.2415882983966	M2	Dq	1	11
25	25.8822741247275	M2	Dq	1	11
26	26.4907169002559	M2	Dq	1	11
27	27.069225630548	M2	Dq	1	11
28	27.6199077565529	M2	Dq	1	11
29	28.1446879977638	M2	Dq	1	11
30	28.6453257313282	M2	Dq	1	11
30	33.3976047045293	M2	Dq	1	11
31	34.1296748596264	M2	Dq	1	11
32	34.8329934741621	M2	Dq	1	11
33	35.5091508901827	M2	Dq	1	11
34	36.1596334614042	M2	Dq	1	11
35	36.7858301002668	M2	Dq	1	11
36	37.3890387020696	M2	Dq	1	11
37	37.9704723429404	M2	Dq	1	11
38	38.5312651880498	M2	Dq	1	11
39	39.072478074325	M2	Dq	1	11
40	39.5951037513029	M2	Dq	1	11
40	0	M2	Dq	1	11
1	0.0144664998692798	M2	Dq	1	16
2	0.576755417227221	M2	Dq	1	16
3	2.12880399138057	M2	Dq	1	16
4	4.1933458409596	M2	Dq	1	16
5	6.3698971733194	M2	Dq	1	16
6	8.46909241095451	M2	Dq	1	16
7	10.4183817032848	M2	Dq	1	16
8	12.1987914915794	M2	Dq	1	16
9	13.8142249242213	M2	Dq	1	16
10	15.277465027124	M2	Dq	1	16
11	16.6039223161287	M2	Dq	1	16
12	17.8089208458138	M2	Dq	1	16
13	18.9066043201998	M2	Dq	1	16
14	19.9095816552038	M2	Dq	1	16
14	20.9155444586078	M2	Dq	1	16
15	21.9442583394733	M2	Dq	1	16
16	22.8926642589819	M2	Dq	1	16
17	23.7694068203312	M2	Dq	1	16
18	24.5820466610158	M2	Dq	1	16
19	25.3371922342784	M2	Dq	1	16
20	26.0406244198826	M2	Dq	1	16
21	26.6974087759052	M2	Dq	1	16
22	27.3119940470776	M2	Dq	1	16
22	29.8295155844006	M2	Dq	1	16
23	30.533473704342	M2	Dq	1	16
24	31.1964487734525	M2	Dq	1	16
25	31.8218888269017	M2	Dq	1	16
26	32.412876744063	M2	Dq	1	16
27	32.9721749096638	M2	Dq	1	16
28	33.5022640459642	M2	Dq	1	16
29	34.0053769314009	M2	Dq	1	16
30	34.4835276718996	M2	Dq	1	16
30	40.3121156312425	M2	Dq	1	16
31	41.0482257020861	M2	Dq	1	16
32	41.752968441615	M2	Dq	1	16
33	42.4282781760515	M2	Dq	1	16
34	43.0759398094437	M2	Dq	1	16
35	43.6976019086288	M2	Dq	1	16
36	44.2947886357843	M2	Dq	1	16
37	44.8689106009985	M2	Dq	1	16
38	45.4212747148793	M2	Dq	1	16
39	45.9530931231796	M2	Dq	1	16
40	46.4654913038396	M2	Dq	1	16
40	0	M2	Dq	1	16
1	0.0944056763162777	M2	Dq	1	21
2	1.62180832603249	M2	Dq	1	21
3	4.44214247906491	M2	Dq	1	21
4	7.49484838208294	M2	Dq	1	21
5	10.3480541562389	M2	Dq	1	21
6	12.8915666740202	M2	Dq	1	21
7	15.1258231664432	M2	Dq	1	21
8	17.0838020102946	M2	Dq	1	21
9	18.8042910288749	M2	Dq	1	21
10	20.3232807876279	M2	Dq	1	21
11	21.6717223395304	M2	Dq	1	21
12	22.8754691059976	M2	Dq	1	21
13	23.9558913589444	M2	Dq	1	21
14	24.9306192835439	M2	Dq	1	21
14	26.3643698957513	M2	Dq	1	21
15	27.3682986480324	M2	Dq	1	21
16	28.2846442534557	M2	Dq	1	21
17	29.1242876305649	M2	Dq	1	21
18	29.8964281492212	M2	Dq	1	21
19	30.6088815228081	M2	Dq	1	21
20	31.268321293879	M2	Dq	1	21
21	31.8804742735454	M2	Dq	1	21
22	32.4502789025013	M2	Dq	1	21
22	35.2217465292599	M2	Dq	1	21
23	35.8913838432031	M2	Dq	1	21
24	36.519322141346	M2	Dq	1	21
25	37.1093569486943	M2	Dq	1	21
26	37.6648407483358	M2	Dq	1	21
27	38.1887446542637	M2	Dq	1	21
28	38.6837103384029	M2	Dq	1	21
29	39.1520938908704	M2	Dq	1	21
30	39.5960029902521	M2	Dq	1	21
30	45.9492473641662	M2	Dq	1	21
31	46.6734758141944	M2	Dq	1	21
32	47.3651923747622	M2	Dq	1	21
33	48.0265338534832	M2	Dq	1	21
34	48.6594575083258	M2	Dq	1	21
35	49.2657588454805	M2	Dq	1	21
36	49.8470874659367	M2	Dq	1	21
37	50.40496117993	M2	Dq	1	21
38	50.9407785870192	M2	Dq	1	21
39	51.455830298618	M2	Dq	1	21
40	51.9513089600967	M2	Dq	1	21
40	0	M2	Dq	1	21
1	0.401861644080159	M2	Dq	1	26
2	3.60595940313138	M2	Dq	1	26
3	7.84645788276395	M2	Dq	1	26
4	11.7479330825364	M2	Dq	1	26
5	15.0681995960214	M2	Dq	1	26
6	17.852934113012	M2	Dq	1	26
7	20.1962103539853	M2	Dq	1	26
8	22.1851132010654	M2	Dq	1	26
9	23.8900291274428	M2	Dq	1	26
10	25.3657965449226	M2	Dq	1	26
11	26.6548493486039	M2	Dq	1	26
12	27.7901626633983	M2	Dq	1	26
13	28.797582186916	M2	Dq	1	26
14	29.6975720060181	M2	Dq	1	26
14	31.4598156383664	M2	Dq	1	26
15	32.3958681559901	M2	Dq	1	26
16	33.2438166749322	M2	Dq	1	26
17	34.0156031518017	M2	Dq	1	26
18	34.7211192999075	M2	Dq	1	26
19	35.368622437831	M2	Dq	1	26
20	35.9650560991267	M2	Dq	1	26
21	36.5162992073234	M2	Dq	1	26
22	37.0273613211908	M2	Dq	1	26
22	40.2119385257662	M2	Dq	1	26
23	40.831555453633	M2	Dq	1	26
24	41.4106151766937	M2	Dq	1	26
25	41.9530172179487	M2	Dq	1	26
26	42.4621767458328	M2	Dq	1	26
27	42.941097093938	M2	Dq	1	26
28	43.3924297540388	M2	Dq	1	26
29	43.8185242625324	M2	Dq	1	26
30	44.2214698899137	M2	Dq	1	26
30	51.5195755676099	M2	Dq	1	26
31	52.2206870884263	M2	Dq	1	26
32	52.8889474425559	M2	Dq	1	26
33	53.5266255213073	M2	Dq	1	26
