Edad	Area_basimetrica_m2_ha	thinning	varname	zone	cal
26	101.206517498657	M2	AB	0	26
27	104.074618949058	M2	AB	0	26
28	106.821537250269	M2	AB	0	26
29	109.454260626909	M2	AB	0	26
30	111.979337301243	M2	AB	0	26
30	64.8440431664201	M2	AB	0	26
31	66.9039062535816	M2	AB	0	26
32	68.9013650933971	M2	AB	0	26
33	70.8385797745954	M2	AB	0	26
34	72.7176990952141	M2	AB	0	26
35	74.5408425198644	M2	AB	0	26
36	76.3100868311613	M2	AB	0	26
37	78.0274564596467	M2	AB	0	26
38	79.6949166917969	M2	AB	0	26
39	81.3143691245576	M2	AB	0	26
40	82.8876488675456	M2	AB	0	26
40	0	M2	AB	0	26
1	6.1659087000636e-12	M2	AB	0	7
2	9.4639129532749e-06	M2	AB	0	7
3	0.00147216570909113	M2	AB	0	7
4	0.0202229335783756	M2	AB	0	7
5	0.101760381788777	M2	AB	0	7
6	0.30596308892914	M2	AB	0	7
7	0.681330188207609	M2	AB	0	7
8	1.25359976294812	M2	AB	0	7
9	2.02719016411616	M2	AB	0	7
10	2.99144529647531	M2	AB	0	7
11	4.12694916450296	M2	AB	0	7
12	5.41031302301527	M2	AB	0	7
13	6.81731901542101	M2	AB	0	7
14	8.32477459206244	M2	AB	0	7
14	7.30734451224986	M2	AB	0	7
15	8.75381163028471	M2	AB	0	7
16	10.2640734074318	M2	AB	0	7
17	11.8227351436277	M2	AB	0	7
18	13.4164429279482	M2	AB	0	7
19	15.0337591748489	M2	AB	0	7
20	16.664985452691	M2	AB	0	7
21	18.3019668593828	M2	AB	0	7
22	19.9378976347444	M2	AB	0	7
22	17.2096445563649	M2	AB	0	7
23	18.6926070624377	M2	AB	0	7
24	20.1710765682912	M2	AB	0	7
25	21.6410732711058	M2	AB	0	7
26	23.0993044723997	M2	AB	0	7
27	24.5430670310353	M2	AB	0	7
28	25.9701619404872	M2	AB	0	7
29	27.3788200796035	M2	AB	0	7
30	28.7676380236338	M2	AB	0	7
30	17.0164366081691	M2	AB	0	7
31	18.0069023183596	M2	AB	0	7
32	18.9912252760746	M2	AB	0	7
33	19.9681792343831	M2	AB	0	7
34	20.9367223915173	M2	AB	0	7
35	21.8959754038309	M2	AB	0	7
36	22.8452017843289	M2	AB	0	7
37	23.7837904810856	M2	AB	0	7
38	24.7112404297644	M2	AB	0	7
39	25.6271468817974	M2	AB	0	7
40	26.531189321499	M2	AB	0	7
40	0	M2	AB	0	7
1	1.03874838313063e-07	M2	AB	1	11
2	0.00177707805432018	M2	AB	1	11
3	0.0561872055023922	M2	AB	1	11
4	0.337525003575796	M2	AB	1	11
5	1.01978917845181	M2	AB	1	11
6	2.16607103156357	M2	AB	1	11
7	3.74627545112001	M2	AB	1	11
8	5.68598929807925	M2	AB	1	11
9	7.90034445088723	M2	AB	1	11
10	10.3106333040527	M2	AB	1	11
11	12.8503934366149	M2	AB	1	11
12	15.4663115800697	M2	AB	1	11
13	18.1169689606185	M2	AB	1	11
14	20.7709115824766	M2	AB	1	11
14	18.9155293672641	M2	AB	1	11
15	21.4073555891236	M2	AB	1	11
16	23.8739882870351	M2	AB	1	11
17	26.3023348749617	M2	AB	1	11
18	28.6829914274387	M2	AB	1	11
19	31.0094048534325	M2	AB	1	11
20	33.2772119535912	M2	AB	1	11
21	35.4837225361466	M2	AB	1	11
22	37.6275173177218	M2	AB	1	11
22	31.2808380517936	M2	AB	1	11
23	33.1788529531054	M2	AB	1	11
24	35.028478947439	M2	AB	1	11
25	36.8292425134199	M2	AB	1	11
26	38.5811656065731	M2	AB	1	11
27	40.2846491445527	M2	AB	1	11
28	41.9403807668742	M2	AB	1	11
29	43.5492618837381	M2	AB	1	11
30	45.1123500485683	M2	AB	1	11
30	26.2809933436054	M2	AB	1	11
31	27.4457711631814	M2	AB	1	11
32	28.5885897760912	M2	AB	1	11
33	29.7092515423882	M2	AB	1	11
34	30.8076928054037	M2	AB	1	11
35	31.883960133688	M2	AB	1	11
36	32.9381903235412	M2	AB	1	11
37	33.9705935754428	M2	AB	1	11
38	34.9814393480993	M2	AB	1	11
39	35.9710444711209	M2	AB	1	11
40	36.9397631630081	M2	AB	1	11
40	0	M2	AB	1	11
1	2.05459784976481e-05	M2	AB	1	16
2	0.0326575243319725	M2	AB	1	16
3	0.44490905623934	M2	AB	1	16
4	1.72631982475367	M2	AB	1	16
5	3.98349923296468	M2	AB	1	16
6	7.04163707468401	M2	AB	1	16
7	10.6561524267138	M2	AB	1	16
8	14.6094380344964	M2	AB	1	16
9	18.7349673364753	M2	AB	1	16
10	22.9140834711846	M2	AB	1	16
11	27.0658256551188	M2	AB	1	16
12	31.136880625086	M2	AB	1	16
13	35.093522699508	M2	AB	1	16
14	38.9156387857554	M2	AB	1	16
14	34.3580280559848	M2	AB	1	16
15	37.8208857917389	M2	AB	1	16
16	41.160681746142	M2	AB	1	16
17	44.3737946191362	M2	AB	1	16
18	47.4598060155327	M2	AB	1	16
19	50.4204658872978	M2	AB	1	16
20	53.2589584561196	M2	AB	1	16
21	55.9793825360676	M2	AB	1	16
22	58.5863847782673	M2	AB	1	16
22	48.9193100053735	M2	AB	1	16
23	51.2554856009728	M2	AB	1	16
24	53.5054769598722	M2	AB	1	16
25	55.6723853645013	M2	AB	1	16
26	57.7594536879582	M2	AB	1	16
27	59.7699801218251	M2	AB	1	16
28	61.7072561555788	M2	AB	1	16
29	63.574522604152	M2	AB	1	16
30	65.3749390624059	M2	AB	1	16
30	38.2897312619524	M2	AB	1	16
31	39.7008600680844	M2	AB	1	16
32	41.0757829717528	M2	AB	1	16
33	42.4152422007638	M2	AB	1	16
34	43.7200509080821	M2	AB	1	16
35	44.9910722721585	M2	AB	1	16
36	46.2292027074194	M2	AB	1	16
37	47.4353584173153	M2	AB	1	16
38	48.6104646668116	M2	AB	1	16
39	49.7554472680203	M2	AB	1	16
40	50.8712258671548	M2	AB	1	16
40	0	M2	AB	1	16
1	0.000874975938108685	M2	AB	1	21
2	0.258225392195879	M2	AB	1	21
3	1.93724640091364	M2	AB	1	21
4	5.51474705827011	M2	AB	1	21
5	10.512772838312	M2	AB	1	21
6	16.3159096807345	M2	AB	1	21
7	22.4614574107989	M2	AB	1	21
8	28.6529243783868	M2	AB	1	21
9	34.7147324477124	M2	AB	1	21
10	40.5496891453642	M2	AB	1	21
11	46.1091111157909	M2	AB	1	21
12	51.3735896146997	M2	AB	1	21
13	56.3410016966716	M2	AB	1	21
14	61.0191323022303	M2	AB	1	21
14	54.5914555414298	M2	AB	1	21
15	58.8281893996382	M2	AB	1	21
16	62.8335103046892	M2	AB	1	21
17	66.6193673841878	M2	AB	1	21
18	70.1986063641666	M2	AB	1	21
19	73.5842388772319	M2	AB	1	21
20	76.7890001987501	M2	AB	1	21
21	79.8250921524432	M2	AB	1	21
22	82.7040445927361	M2	AB	1	21
22	68.2039765094344	M2	AB	1	21
23	70.8220230556586	M2	AB	1	21
24	73.321836933565	M2	AB	1	21
25	75.7102671832606	M2	AB	1	21
26	77.9938201043545	M2	AB	1	21
27	80.1786401474303	M2	AB	1	21
28	82.2705056729686	M2	AB	1	21
29	84.274834508919	M2	AB	1	21
30	86.1966957828914	M2	AB	1	21
30	49.7471196695944	M2	AB	1	21
