Edad	Dm	thinning	varname	zone	cal
20	34.9021980638694	M2	Dm	0	26
21	35.57920005826	M2	Dm	0	26
22	36.208492208611	M2	Dm	0	26
22	39.3726001210789	M2	Dm	0	26
23	40.1151340207498	M2	Dm	0	26
24	40.810791645778	M2	Dm	0	26
25	41.4638850039054	M2	Dm	0	26
26	42.0782205848953	M2	Dm	0	26
27	42.6571696075705	M2	Dm	0	26
28	43.2037272413062	M2	Dm	0	26
29	43.7205626802973	M2	Dm	0	26
30	44.210061616388	M2	Dm	0	26
30	51.5392021828211	M2	Dm	0	26
31	52.344455960918	M2	Dm	0	26
32	53.1133406619811	M2	Dm	0	26
33	53.8482668161822	M2	Dm	0	26
34	54.5514407153555	M2	Dm	0	26
35	55.2248847987438	M2	Dm	0	26
36	55.8704557922382	M2	Dm	0	26
37	56.4898608543405	M2	Dm	0	26
38	57.0846719572556	M2	Dm	0	26
39	57.6563387072751	M2	Dm	0	26
40	58.2061997857978	M2	Dm	0	26
40	0	M2	Dm	0	26
1	-2.90901449194054e-06	M2	Dm	0	7
2	0.00716750441566814	M2	Dm	0	7
3	0.10580099213382	M2	Dm	0	7
4	0.41194875127191	M2	Dm	0	7
5	0.944930404192607	M2	Dm	0	7
6	1.65896178926949	M2	Dm	0	7
7	2.49497589724547	M2	Dm	0	7
8	3.40226272128505	M2	Dm	0	7
9	4.34298301975058	M2	Dm	0	7
10	5.29075260038399	M2	Dm	0	7
11	6.22794986529676	M2	Dm	0	7
12	7.14324604247517	M2	Dm	0	7
13	8.02969314485453	M2	Dm	0	7
14	8.88333901616295	M2	Dm	0	7
14	9.32061854583052	M2	Dm	0	7
15	10.2118113003415	M2	Dm	0	7
16	11.0670716971604	M2	Dm	0	7
17	11.8862397162423	M2	Dm	0	7
18	12.6698582751414	M2	Dm	0	7
19	13.4189227221178	M2	Dm	0	7
20	14.1347073804119	M2	Dm	0	7
21	14.8186458875906	M2	Dm	0	7
22	15.472249127545	M2	Dm	0	7
22	17.2319659039869	M2	Dm	0	7
23	17.9651034265313	M2	Dm	0	7
24	18.6676313343708	M2	Dm	0	7
25	19.3410594662954	M2	Dm	0	7
26	19.9868658769393	M2	Dm	0	7
27	20.6064808633538	M2	Dm	0	7
28	21.2012769954309	M2	Dm	0	7
29	21.7725634071508	M2	Dm	0	7
30	22.3215830921505	M2	Dm	0	7
30	26.3205180784097	M2	Dm	0	7
31	27.0819717417811	M2	Dm	0	7
32	27.8182613496462	M2	Dm	0	7
33	28.5304345022176	M2	Dm	0	7
34	29.2195063822197	M2	Dm	0	7
35	29.8864564184941	M2	Dm	0	7
36	30.5322262827988	M2	Dm	0	7
37	31.1577188902376	M2	Dm	0	7
38	31.7637981496147	M2	Dm	0	7
39	32.3512892683583	M2	Dm	0	7
40	32.9209794616443	M2	Dm	0	7
40	0	M2	Dm	0	7
1	0.00101776651628632	M2	Dm	1	11
2	0.131876218088663	M2	Dm	1	11
3	0.739709488152342	M2	Dm	1	11
4	1.81169504200141	M2	Dm	1	11
5	3.14842166798929	M2	Dm	1	11
6	4.58821481316581	M2	Dm	1	11
7	6.03381697699773	M2	Dm	1	11
8	7.43324694306803	M2	Dm	1	11
9	8.76142455821947	M2	Dm	1	11
10	10.0083449848928	M2	Dm	1	11
11	11.172177975482	M2	Dm	1	11
12	12.2553641130855	M2	Dm	1	11
13	13.2624313677677	M2	Dm	1	11
14	14.1987837796646	M2	Dm	1	11
14	15.1723319426745	M2	Dm	1	11
15	16.1394863275097	M2	Dm	1	11
16	17.0424071286201	M2	Dm	1	11
17	17.8863664308802	M2	Dm	1	11
18	18.676303358798	M2	Dm	1	11
19	19.4167751110941	M2	Dm	1	11
20	20.1119473452732	M2	Dm	1	11
21	20.7656061446511	M2	Dm	1	11
22	21.3811810936332	M2	Dm	1	11
22	23.3462143072783	M2	Dm	1	11
23	24.0428027230223	M2	Dm	1	11
24	24.7024815008731	M2	Dm	1	11
25	25.3279876450476	M2	Dm	1	11
26	25.9218186916538	M2	Dm	1	11
27	26.4862532995892	M2	Dm	1	11
28	27.0233710199649	M2	Dm	1	11
29	27.535070837022	M2	Dm	1	11
30	28.0230882926104	M2	Dm	1	11
30	32.7753672658116	M2	Dm	1	11
31	33.4952551387606	M2	Dm	1	11
32	34.1868088194248	M2	Dm	1	11
33	34.8515993501526	M2	Dm	1	11
34	35.4910950003873	M2	Dm	1	11
35	36.1066676999442	M2	Dm	1	11
36	36.6995993648455	M2	Dm	1	11
37	37.2710880098661	M2	Dm	1	11
38	37.8222535820678	M2	Dm	1	11
39	38.354143477832	M2	Dm	1	11
