Edad	VCC20	VCC7	thinning	varname	zone	cal
1	0	0	MG2	VC	0	26
2	0	0	MG2	VC	0	26
3	0	0	MG2	VC	0	26
4	0	4.68138913287515	MG2	VC	0	26
5	0	31.2812736980745	MG2	VC	0	26
6	0	50.3752297487336	MG2	VC	0	26
7	0.426286305652266	110.706937509824	MG2	VC	0	26
8	18.6924427168116	162.848704154429	MG2	VC	0	26
9	45.7922179916284	214.15483461827	MG2	VC	0	26
10	109.1847050463	290.090494854811	MG2	VC	0	26
11	180.516376053312	369.357175917094	MG2	VC	0	26
12	255.049412717046	448.177946154684	MG2	VC	0	26
13	334.674209822357	532.421269834707	MG2	VC	0	26
14	413.833354835745	612.409089438742	MG2	VC	0	26
15	495.311954102226	694.81989220247	MG2	VC	0	26
16	584.133487268948	785.760005738848	MG2	VC	0	26
17	671.593519849952	874.292330045564	MG2	VC	0	26
17	644.731003563622	791.591273425273	MG2	VC	0	26
18	718.915110508095	866.772717935661	MG2	VC	0	26
19	798.558664808881	946.47989961346	MG2	VC	0	26
20	879.689738099541	1027.08844423107	MG2	VC	0	26
21	955.061026644479	1102.08297392699	MG2	VC	0	26
22	1029.45886795002	1175.86402491253	MG2	VC	0	26
23	1104.82593052445	1251.3142898199	MG2	VC	0	26
24	1179.34933775383	1325.88020171788	MG2	VC	0	26
25	1250.79777707687	1397.41961588628	MG2	VC	0	26
25	804.87694571019	850.369842856486	MG2	VC	0	26
26	840.860653626085	891.531818843657	MG2	VC	0	26
27	889.481791249873	939.86969450995	MG2	VC	0	26
28	942.98943945603	992.819014900766	MG2	VC	0	26
29	989.881599101792	1039.38501319799	MG2	VC	0	26
30	1037.6597012021	1086.92982708999	MG2	VC	0	26
31	1087.75741003172	1136.64016376267	MG2	VC	0	26
32	1133.26200548767	1182.06410796433	MG2	VC	0	26
33	1177.91990122445	1226.58043582539	MG2	VC	0	26
34	1217.99547316766	1266.68259734785	MG2	VC	0	26
35	1262.08933161443	1310.59525316958	MG2	VC	0	26
35	0	0	MG2	VC	0	26
