Edad	Area_basimetrica_m2_ha	thinning	varname	zone	cal
1	6.1659087000636e-12	MG2	AB	0	7
2	9.4639129532749e-06	MG2	AB	0	7
3	0.00147216570909113	MG2	AB	0	7
4	0.0202229335783756	MG2	AB	0	7
5	0.101760381788777	MG2	AB	0	7
6	0.30596308892914	MG2	AB	0	7
7	0.681330188207609	MG2	AB	0	7
8	1.25359976294812	MG2	AB	0	7
9	2.02719016411616	MG2	AB	0	7
10	2.99144529647531	MG2	AB	0	7
11	4.12694916450296	MG2	AB	0	7
12	5.41031302301527	MG2	AB	0	7
13	6.81731901542101	MG2	AB	0	7
14	8.32477459206244	MG2	AB	0	7
15	9.91148154479283	MG2	AB	0	7
16	11.5586435790025	MG2	AB	0	7
17	13.2499399762501	MG2	AB	0	7
17	11.5579193725568	MG2	AB	0	7
18	13.1271810460578	MG2	AB	0	7
19	14.7209840945627	MG2	AB	0	7
20	16.3296749497094	MG2	AB	0	7
21	17.9451167421799	MG2	AB	0	7
22	19.5605021346012	MG2	AB	0	7
23	21.1701762937403	MG2	AB	0	7
24	22.7694753704935	MG2	AB	0	7
25	24.3545825032807	MG2	AB	0	7
25	14.7749102498328	MG2	AB	0	7
26	15.9162797087242	MG2	AB	0	7
27	17.0563947030815	MG2	AB	0	7
28	18.1926945922145	MG2	AB	0	7
29	19.3229957415674	MG2	AB	0	7
30	20.4454457688601	MG2	AB	0	7
31	21.5584824520721	MG2	AB	0	7
32	22.6607970972805	MG2	AB	0	7
33	23.7513020639096	MG2	AB	0	7
34	24.8291020969196	MG2	AB	0	7
35	25.8934691009282	MG2	AB	0	7
35	0	MG2	AB	0	7
