Edad	Dm	thinning	varname	zone	cal
1	-2.90901449194054e-06	MG2	Dm	0	7
2	0.00716750441566814	MG2	Dm	0	7
3	0.10580099213382	MG2	Dm	0	7
4	0.41194875127191	MG2	Dm	0	7
5	0.944930404192607	MG2	Dm	0	7
6	1.65896178926949	MG2	Dm	0	7
7	2.49497589724547	MG2	Dm	0	7
8	3.40226272128505	MG2	Dm	0	7
9	4.34298301975058	MG2	Dm	0	7
10	5.29075260038399	MG2	Dm	0	7
11	6.22794986529676	MG2	Dm	0	7
12	7.14324604247517	MG2	Dm	0	7
13	8.02969314485453	MG2	Dm	0	7
14	8.88333901616295	MG2	Dm	0	7
15	9.7022540137478	MG2	Dm	0	7
16	10.4858567549636	MG2	Dm	0	7
17	11.2344502974549	MG2	Dm	0	7
17	11.7480541954723	MG2	Dm	0	7
18	12.5281948924293	MG2	Dm	0	7
19	13.2742455202095	MG2	Dm	0	7
20	13.9874181496323	MG2	Dm	0	7
21	14.6690930587414	MG2	Dm	0	7
22	15.3207353993665	MG2	Dm	0	7
23	15.9438383125622	MG2	Dm	0	7
24	16.5398846174212	MG2	Dm	0	7
25	17.1103215476802	MG2	Dm	0	7
25	19.9470224712686	MG2	Dm	0	7
26	20.710331634363	MG2	Dm	0	7
27	21.4459899386705	MG2	Dm	0	7
28	22.15514919921	MG2	Dm	0	7
29	22.8389505316587	MG2	Dm	0	7
30	23.4985119267486	MG2	Dm	0	7
31	24.13491968472	MG2	Dm	0	7
32	24.7492227291009	MG2	Dm	0	7
33	25.3424290618104	MG2	Dm	0	7
34	25.9155038033591	MG2	Dm	0	7
35	26.4693683984286	MG2	Dm	0	7
35	0	MG2	Dm	0	7
