Edad	Dm	thinning	varname	zone	cal
1	0.0144556104199449	MG2	Dm	1	16
2	0.574067348259549	MG2	Dm	1	16
3	2.11173151292958	MG2	Dm	1	16
4	4.14986546848009	MG2	Dm	1	16
5	6.29302901933072	MG2	Dm	1	16
6	8.35586076628563	MG2	Dm	1	16
7	10.268111477558	MG2	Dm	1	16
8	12.0119923935445	MG2	Dm	1	16
9	13.5919741726335	MG2	Dm	1	16
10	15.0210839940498	MG2	Dm	1	16
11	16.3148115405597	MG2	Dm	1	16
12	17.4884780303214	MG2	Dm	1	16
13	18.5561853640383	MG2	Dm	1	16
14	19.5304838197517	MG2	Dm	1	16
15	20.4223587689208	MG2	Dm	1	16
16	21.2413495197463	MG2	Dm	1	16
17	21.9957131027614	MG2	Dm	1	16
17	23.2953240173637	MG2	Dm	1	16
18	24.0839047022066	MG2	Dm	1	16
19	24.8159979768707	MG2	Dm	1	16
20	25.4973299548641	MG2	Dm	1	16
21	26.1329156553001	MG2	Dm	1	16
22	26.7271570156465	MG2	Dm	1	16
23	27.2839276372824	MG2	Dm	1	16
24	27.8066454680937	MG2	Dm	1	16
25	28.298334874121	MG2	Dm	1	16
25	32.8611816890439	MG2	Dm	1	16
26	33.6013470980551	MG2	Dm	1	16
27	34.3043036472971	MG2	Dm	1	16
28	34.9727418840114	MG2	Dm	1	16
29	35.6091109757692	MG2	Dm	1	16
30	36.2156429064952	MG2	Dm	1	16
31	36.7943743060459	MG2	Dm	1	16
32	37.3471660532928	MG2	Dm	1	16
33	37.8757208264879	MG2	Dm	1	16
34	38.3815987864569	MG2	Dm	1	16
35	38.8662315768587	MG2	Dm	1	16
35	0	MG2	Dm	1	16
