Edad	VCC20	VCC7	thinning	varname	zone	cal
1	0	0	MG2	VC	0	21
2	0	0	MG2	VC	0	21
3	0	0	MG2	VC	0	21
4	0	0	MG2	VC	0	21
5	0	4.70123988949909	MG2	VC	0	21
6	0	24.0885855850397	MG2	VC	0	21
7	0	35.8974858119865	MG2	VC	0	21
8	0	70.6099914016762	MG2	VC	0	21
9	1.28554771792901	104.815617594267	MG2	VC	0	21
10	11.933954273691	142.373921583384	MG2	VC	0	21
11	29.1680462700618	184.393713818227	MG2	VC	0	21
12	57.7890749647933	223.975518817414	MG2	VC	0	21
13	101.602084213715	280.534787612936	MG2	VC	0	21
14	149.680706293525	336.345279210986	MG2	VC	0	21
15	198.448126559115	388.993491719496	MG2	VC	0	21
16	252.729067453373	448.637465779767	MG2	VC	0	21
17	307.606307888384	506.839941380688	MG2	VC	0	21
17	301.369286389446	457.957569708384	MG2	VC	0	21
18	353.037542410619	502.225323448401	MG2	VC	0	21
19	408.939633806072	559.085808460212	MG2	VC	0	21
20	465.842672983774	616.309565095533	MG2	VC	0	21
21	521.324356560653	671.860535153239	MG2	VC	0	21
22	575.468001424868	725.783086247729	MG2	VC	0	21
23	628.461649411648	778.224361514846	MG2	VC	0	21
24	683.981567996543	833.617783435539	MG2	VC	0	21
25	736.607567740551	886.347113058304	MG2	VC	0	21
25	502.419966087614	550.288560832331	MG2	VC	0	21
26	527.83210882036	578.844493689436	MG2	VC	0	21
27	565.07326911132	615.614605204543	MG2	VC	0	21
28	603.655665145801	653.636111665124	MG2	VC	0	21
29	640.707241057559	690.217713578007	MG2	VC	0	21
30	678.977123221983	727.902994875548	MG2	VC	0	21
31	714.803491026362	763.357070742123	MG2	VC	0	21
32	752.691181323435	800.831412146517	MG2	VC	0	21
33	785.999030299312	833.923009163853	MG2	VC	0	21
34	823.707700396807	871.12883836737	MG2	VC	0	21
35	855.368117042308	902.646820978225	MG2	VC	0	21
35	0	0	MG2	VC	0	21
