Edad	Dq	thinning	varname	zone	cal
1	0.0222328927546054	MG2	Dq	0	21
2	0.777422902453171	MG2	Dq	0	21
3	2.73915426906748	MG2	Dq	0	21
4	5.26699396273376	MG2	Dq	0	21
5	7.88265221288356	MG2	Dq	0	21
6	10.374666278489	MG2	Dq	0	21
7	12.6688065198595	MG2	Dq	0	21
8	14.7507370672929	MG2	Dq	0	21
9	16.6303432801815	MG2	Dq	0	21
10	18.3260898204437	MG2	Dq	0	21
11	19.8583097832826	MG2	Dq	0	21
12	21.2464457562171	MG2	Dq	0	21
13	22.5080426301617	MG2	Dq	0	21
14	23.6585092459554	MG2	Dq	0	21
15	24.7112040191099	MG2	Dq	0	21
16	25.6776422050828	MG2	Dq	0	21
17	26.5677338319324	MG2	Dq	0	21
17	28.1165431730147	MG2	Dq	0	21
18	29.0445185575219	MG2	Dq	0	21
19	29.9059023756199	MG2	Dq	0	21
20	30.7075102944807	MG2	Dq	0	21
21	31.4552937015376	MG2	Dq	0	21
22	32.1544634342302	MG2	Dq	0	21
23	32.8095954138927	MG2	Dq	0	21
24	33.4247203456921	MG2	Dq	0	21
25	34.0033997076646	MG2	Dq	0	21
25	39.6271511859118	MG2	Dq	0	21
26	40.489718600051	MG2	Dq	0	21
27	41.3085038684336	MG2	Dq	0	21
28	42.0867144209909	MG2	Dq	0	21
29	42.8272635370413	MG2	Dq	0	21
30	43.5328010461346	MG2	Dq	0	21
31	44.2057407466275	MG2	Dq	0	21
32	44.8482848218735	MG2	Dq	0	21
33	45.4624455459175	MG2	Dq	0	21
34	46.0500645636249	MG2	Dq	0	21
35	46.6128300129937	MG2	Dq	0	21
35	0	MG2	Dq	0	21
