Edad	Dm	thinning	varname	zone	cal
1	0.0970793594120033	MG2	Dm	0	26
2	1.75094766786331	MG2	Dm	0	26
3	4.87182817769126	MG2	Dm	0	26
4	8.28044752545668	MG2	Dm	0	26
5	11.4794326334802	MG2	Dm	0	26
6	14.3365402732859	MG2	Dm	0	26
7	16.8478772716679	MG2	Dm	0	26
8	19.0483893879216	MG2	Dm	0	26
9	20.9807241869118	MG2	Dm	0	26
10	22.6849841343633	MG2	Dm	0	26
11	24.1959108622881	MG2	Dm	0	26
12	25.5426655948713	MG2	Dm	0	26
13	26.749438072783	MG2	Dm	0	26
14	27.8362381134258	MG2	Dm	0	26
15	28.8196448352128	MG2	Dm	0	26
16	29.713447813484	MG2	Dm	0	26
17	30.5291732165853	MG2	Dm	0	26
17	32.3974817860656	MG2	Dm	0	26
18	33.2564342098504	MG2	Dm	0	26
19	34.0479170621202	MG2	Dm	0	26
20	34.779524577145	MG2	Dm	0	26
21	35.4577768204946	MG2	Dm	0	26
22	36.0882975552765	MG2	Dm	0	26
23	36.6759592887133	MG2	Dm	0	26
24	37.2250019479312	MG2	Dm	0	26
25	37.7391303627432	MG2	Dm	0	26
25	43.7841340116226	MG2	Dm	0	26
26	44.6058468824241	MG2	Dm	0	26
27	45.3833500011018	MG2	Dm	0	26
28	46.1201135092648	MG2	Dm	0	26
29	46.819261365634	MG2	Dm	0	26
30	47.4836118548612	MG2	Dm	0	26
31	48.1157128709436	MG2	Dm	0	26
32	48.7178726678372	MG2	Dm	0	26
33	49.292186687812	MG2	Dm	0	26
34	49.8405609999533	MG2	Dm	0	26
35	50.36473280984	MG2	Dm	0	26
35	0	MG2	Dm	0	26
