Edad	Altura.dominante	thinning	varname	zone	cal
1	0.118979553888518	MG2	Hdom	1	7
2	0.330064429430982	MG2	Hdom	1	7
3	0.595557967110337	MG2	Hdom	1	7
4	0.900253990666248	MG2	Hdom	1	7
5	1.23438539018626	MG2	Hdom	1	7
6	1.59076807236766	MG2	Hdom	1	7
7	1.96377137566171	MG2	Hdom	1	7
8	2.34883227964223	MG2	Hdom	1	7
9	2.74218506559298	MG2	Hdom	1	7
10	3.1406919778029	MG2	Hdom	1	7
11	3.54172714638062	MG2	Hdom	1	7
12	3.94309131120601	MG2	Hdom	1	7
13	4.34294580654489	MG2	Hdom	1	7
14	4.73975944949014	MG2	Hdom	1	7
15	5.13226461685158	MG2	Hdom	1	7
16	5.51942021785783	MG2	Hdom	1	7
17	5.90038007191368	MG2	Hdom	1	7
17	5.90038007191368	MG2	Hdom	1	7
18	6.27446567079521	MG2	Hdom	1	7
19	6.64114259067844	MG2	Hdom	1	7
20	6.99999999999999	MG2	Hdom	1	7
21	7.35073282779207	MG2	Hdom	1	7
22	7.69312623847412	MG2	Hdom	1	7
23	8.02704211742271	MG2	Hdom	1	7
24	8.35240731541864	MG2	Hdom	1	7
25	8.66920343434498	MG2	Hdom	1	7
25	8.66920343434498	MG2	Hdom	1	7
26	8.97745796434942	MG2	Hdom	1	7
27	9.27723660597893	MG2	Hdom	1	7
28	9.56863663072721	MG2	Hdom	1	7
29	9.85178115075931	MG2	Hdom	1	7
30	10.1268141837955	MG2	Hdom	1	7
31	10.3938964125854	MG2	Hdom	1	7
32	10.6532015503338	MG2	Hdom	1	7
33	10.9049132340371	MG2	Hdom	1	7
34	11.1492223771014	MG2	Hdom	1	7
35	11.3863249209757	MG2	Hdom	1	7
35	0	MG2	Hdom	1	7
