Edad	Dm	thinning	varname	zone	cal
1	0.401850628650897	MG2	Dm	1	26
2	3.60318794513961	MG2	Dm	1	26
3	7.82846957152269	MG2	Dm	1	26
4	11.7010939247406	MG2	Dm	1	26
5	14.9836082969141	MG2	Dm	1	26
6	17.7258366677077	MG2	Dm	1	26
7	20.0244991380262	MG2	Dm	1	26
8	21.9682598173853	MG2	Dm	1	26
9	23.6284425231603	MG2	Dm	1	26
10	25.0604460084778	MG2	Dm	1	26
11	26.3070386923606	MG2	Dm	1	26
12	27.4013903471926	MG2	Dm	1	26
13	28.369451626586	MG2	Dm	1	26
14	29.2317323782212	MG2	Dm	1	26
15	30.0046118240992	MG2	Dm	1	26
16	30.7013035075606	MG2	Dm	1	26
17	31.3325701005902	MG2	Dm	1	26
17	33.1897116317938	MG2	Dm	1	26
18	33.8680637159907	MG2	Dm	1	26
19	34.4897173344459	MG2	Dm	1	26
20	35.0615507617059	MG2	Dm	1	26
21	35.5893792581906	MG2	Dm	1	26
22	36.0781505384041	MG2	Dm	1	26
23	36.5320992338863	MG2	Dm	1	26
24	36.9548698831528	MG2	Dm	1	26
25	37.3496155798727	MG2	Dm	1	26
25	43.2331363321534	MG2	Dm	1	26
26	43.9223151465821	MG2	Dm	1	26
27	44.5728287023513	MG2	Dm	1	26
28	45.1878704978282	MG2	Dm	1	26
29	45.7702940066614	MG2	Dm	1	26
30	46.3226560441979	MG2	Dm	1	26
31	46.8472538259042	MG2	Dm	1	26
32	47.3461567243733	MG2	Dm	1	26
33	47.821233561908	MG2	Dm	1	26
34	48.2741761347307	MG2	Dm	1	26
35	48.7065195482311	MG2	Dm	1	26
35	0	MG2	Dm	1	26
