Edad	Dq	thinning	varname	zone	cal
1	0.0944056763162777	MG2	Dq	1	21
2	1.62180832603249	MG2	Dq	1	21
3	4.44214247906491	MG2	Dq	1	21
4	7.49484838208294	MG2	Dq	1	21
5	10.3480541562389	MG2	Dq	1	21
6	12.8915666740202	MG2	Dq	1	21
7	15.1258231664432	MG2	Dq	1	21
8	17.0838020102946	MG2	Dq	1	21
9	18.8042910288749	MG2	Dq	1	21
10	20.3232807876279	MG2	Dq	1	21
11	21.6717223395304	MG2	Dq	1	21
12	22.8754691059976	MG2	Dq	1	21
13	23.9558913589444	MG2	Dq	1	21
14	24.9306192835439	MG2	Dq	1	21
15	25.8142301086731	MG2	Dq	1	21
16	26.6188290500479	MG2	Dq	1	21
17	27.354522331783	MG2	Dq	1	21
17	28.9306066303491	MG2	Dq	1	21
18	29.7048412264617	MG2	Dq	1	21
19	30.4193919339453	MG2	Dq	1	21
20	31.0809109447767	MG2	Dq	1	21
21	31.6951102876694	MG2	Dq	1	21
22	32.2669183484441	MG2	Dq	1	21
23	32.8006072424036	MG2	Dq	1	21
24	33.2998968370105	MG2	Dq	1	21
25	33.7680400596385	MG2	Dq	1	21
25	39.2926343111672	MG2	Dq	1	21
26	40.0316895019387	MG2	Dq	1	21
27	40.7312724883667	MG2	Dq	1	21
28	41.3944588487162	MG2	Dq	1	21
29	42.0240185328278	MG2	Dq	1	21
30	42.622451667522	MG2	Dq	1	21
31	43.1920197082594	MG2	Dq	1	21
32	43.7347725647387	MG2	Dq	1	21
33	44.2525722504365	MG2	Dq	1	21
34	44.7471135334534	MG2	Dq	1	21
35	45.2199420004494	MG2	Dq	1	21
35	0	MG2	Dq	1	21
