Edad	Dm	thinning	varname	zone	cal
1	0.0222219742995121	MG2	Dm	0	21
2	0.774715167934628	MG2	Dm	0	21
3	2.7218592132933	MG2	Dm	0	21
4	5.22266873539111	MG2	Dm	0	21
5	7.80376720549846	MG2	Dm	0	21
6	10.257667111792	MG2	Dm	0	21
7	12.5124658052556	MG2	Dm	0	21
8	14.5550635964598	MG2	Dm	0	21
9	16.3959739379333	MG2	Dm	0	21
10	18.0539676299681	MG2	Dm	0	21
11	19.5495165501143	MG2	Dm	0	21
12	20.9021159342141	MG2	Dm	0	21
13	22.1293194852708	MG2	Dm	0	21
14	23.2465229475098	MG2	Dm	0	21
15	24.267061023024	MG2	Dm	0	21
16	25.2024203803411	MG2	Dm	0	21
17	26.0624804473716	MG2	Dm	0	21
17	27.6112897884539	MG2	Dm	0	21
18	28.5102496468077	MG2	Dm	0	21
19	29.3436027342797	MG2	Dm	0	21
20	30.118133747019	MG2	Dm	0	21
21	30.8397634740785	MG2	Dm	0	21
22	31.5136725665889	MG2	Dm	0	21
23	32.1444071914466	MG2	Dm	0	21
24	32.735968751123	MG2	Dm	0	21
25	33.2918898990522	MG2	Dm	0	21
25	38.9156413772993	MG2	Dm	0	21
26	39.7562274220602	MG2	Dm	0	21
27	40.5537804011451	MG2	Dm	0	21
28	41.3114805681043	MG2	Dm	0	21
29	42.0322146525866	MG2	Dm	0	21
30	42.7186065967765	MG2	Dm	0	21
31	43.3730450052017	MG2	Dm	0	21
32	43.9977075869156	MG2	Dm	0	21
33	44.5945828815153	MG2	Dm	0	21
34	45.1654895538575	MG2	Dm	0	21
35	45.7120935254018	MG2	Dm	0	21
35	0	MG2	Dm	0	21
