Edad	Area_basimetrica_m2_ha	thinning	varname	zone	cal
1	4.85279382699152e-05	MG2	AB	0	21
2	0.0593354930497806	MG2	AB	0	21
3	0.736601975328929	MG2	AB	0	21
4	2.72348843528538	MG2	AB	0	21
5	6.10020775020408	MG2	AB	0	21
6	10.5669138257488	MG2	AB	0	21
7	15.756918965219	MG2	AB	0	21
8	21.3612832055169	MG2	AB	0	21
9	27.1520310887576	MG2	AB	0	21
10	32.9715615470483	MG2	AB	0	21
11	38.715462958194	MG2	AB	0	21
12	44.3172161847372	MG2	AB	0	21
13	49.73651512946	MG2	AB	0	21
14	54.9508792410095	MG2	AB	0	21
15	59.9497956412718	MG2	AB	0	21
16	64.730681663421	MG2	AB	0	21
17	69.2961198742086	MG2	AB	0	21
17	62.0888664092219	MG2	AB	0	21
18	66.2549370011677	MG2	AB	0	21
19	70.2431055175983	MG2	AB	0	21
20	74.0592131610063	MG2	AB	0	21
21	77.7100825953217	MG2	AB	0	21
22	81.2030637140088	MG2	AB	0	21
23	84.5457208484076	MG2	AB	0	21
24	87.7456198095154	MG2	AB	0	21
25	90.8101854407693	MG2	AB	0	21
25	55.4993758183173	MG2	AB	0	21
26	57.941790575908	MG2	AB	0	21
27	60.3088888109815	MG2	AB	0	21
28	62.6026101793056	MG2	AB	0	21
29	64.8250778374712	MG2	AB	0	21
30	66.978531152395	MG2	AB	0	21
31	69.0652741165082	MG2	AB	0	21
32	71.0876360148724	MG2	AB	0	21
33	73.0479416542502	MG2	AB	0	21
34	74.9484890559067	MG2	AB	0	21
35	76.7915329728848	MG2	AB	0	21
35	0	MG2	AB	0	21
