Edad	Dq	thinning	varname	zone	cal
1	7.92498771539618e-06	MG2	Dq	0	7
2	0.00981828018342966	MG2	Dq	0	7
3	0.122455529796507	MG2	Dq	0	7
4	0.453860231723735	MG2	Dq	0	7
5	1.01809760703311	MG2	Dq	0	7
6	1.76536524051858	MG2	Dq	0	7
7	2.63438271881331	MG2	Dq	0	7
8	3.57338247766025	MG2	Dq	0	7
9	4.54409390893353	MG2	Dq	0	7
10	5.52001916473801	MG2	Dq	0	7
11	6.48357609678912	MG2	Dq	0	7
12	7.42354335357378	MG2	Dq	0	7
13	8.33310514010667	MG2	Dq	0	7
14	9.20844491176243	MG2	Dq	0	7
15	10.0477620392774	MG2	Dq	0	7
16	10.850593380377	MG2	Dq	0	7
17	11.6173482492792	MG2	Dq	0	7
17	12.1309521472966	MG2	Dq	0	7
18	12.9282814088875	MG2	Dq	0	7
19	13.6906314999033	MG2	Dq	0	7
20	14.4192884355093	MG2	Dq	0	7
21	15.1156978902836	MG2	Dq	0	7
22	15.7813829662203	MG2	Dq	0	7
23	16.4178883009372	MG2	Dq	0	7
24	17.0267426287548	MG2	Dq	0	7
25	17.6094342721997	MG2	Dq	0	7
25	20.4461351957881	MG2	Dq	0	7
26	21.2211826721496	MG2	Dq	0	7
27	21.9680961733018	MG2	Dq	0	7
28	22.6880576418016	MG2	Dq	0	7
29	23.382235565067	MG2	Dq	0	7
30	24.0517728903717	MG2	Dq	0	7
31	24.6977787496308	MG2	Dq	0	7
32	25.3213230211997	MG2	Dq	0	7
33	25.9234329974166	MG2	Dq	0	7
34	26.5050916073224	MG2	Dq	0	7
35	27.0672367795786	MG2	Dq	0	7
35	0	MG2	Dq	0	7
