Edad	Area_basimetrica_m2_ha	thinning	varname	zone	cal
1	0.000874975938108685	MG2	AB	1	21
2	0.258225392195879	MG2	AB	1	21
3	1.93724640091364	MG2	AB	1	21
4	5.51474705827011	MG2	AB	1	21
5	10.512772838312	MG2	AB	1	21
6	16.3159096807345	MG2	AB	1	21
7	22.4614574107989	MG2	AB	1	21
8	28.6529243783868	MG2	AB	1	21
9	34.7147324477124	MG2	AB	1	21
10	40.5496891453642	MG2	AB	1	21
11	46.1091111157909	MG2	AB	1	21
12	51.3735896146997	MG2	AB	1	21
13	56.3410016966716	MG2	AB	1	21
14	61.0191323022303	MG2	AB	1	21
15	65.4211612083306	MG2	AB	1	21
16	69.5629175717141	MG2	AB	1	21
17	73.4612248628022	MG2	AB	1	21
17	65.7362554800396	MG2	AB	1	21
18	69.3017740407079	MG2	AB	1	21
19	72.6759869701857	MG2	AB	1	21
20	75.8712709758067	MG2	AB	1	21
21	78.8995299668045	MG2	AB	1	21
22	81.7720454890302	MG2	AB	1	21
23	84.4994046814815	MG2	AB	1	21
24	87.0914773218257	MG2	AB	1	21
25	89.5574233603096	MG2	AB	1	21
25	54.5663228002011	MG2	AB	1	21
26	56.6383032126789	MG2	AB	1	21
27	58.6351919732433	MG2	AB	1	21
28	60.5601321219183	MG2	AB	1	21
29	62.4162329411986	MG2	AB	1	21
30	64.2065373438942	MG2	AB	1	21
31	65.9339994886837	MG2	AB	1	21
32	67.6014700171186	MG2	AB	1	21
33	69.2116869519903	MG2	AB	1	21
34	70.7672707806538	MG2	AB	1	21
35	72.270722609955	MG2	AB	1	21
35	0	MG2	AB	1	21
