Edad	Area_basimetrica_m2_ha	thinning	varname	zone	cal
1	4.91310336574817e-09	MG2	AB	0	11
2	0.000373299910914116	MG2	AB	0	11
3	0.0200178250697039	MG2	AB	0	11
4	0.158193938132038	MG2	AB	0	11
5	0.566038437029012	MG2	AB	0	11
6	1.34912026598192	MG2	AB	0	11
7	2.53729391705867	MG2	AB	0	11
8	4.10482140089226	MG2	AB	0	11
9	5.99767501543377	MG2	AB	0	11
10	8.15286646805355	MG2	AB	0	11
11	10.5091854532572	MG2	AB	0	11
12	13.0121198676134	MG2	AB	0	11
13	15.6154658309119	MG2	AB	0	11
14	18.2812608301722	MG2	AB	0	11
15	20.9789739713237	MG2	AB	0	11
16	23.6844465445503	MG2	AB	0	11
17	26.37882449861	MG2	AB	0	11
17	24.2530952857132	MG2	AB	0	11
18	26.790308979162	MG2	AB	0	11
19	29.3001170145681	MG2	AB	0	11
20	31.7737633220815	MG2	AB	0	11
21	34.2046956270705	MG2	AB	0	11
22	36.5881266034927	MG2	AB	0	11
23	38.9206763275297	MG2	AB	0	11
24	41.2000827119272	MG2	AB	0	11
25	43.4249679089803	MG2	AB	0	11
25	26.8134932983889	MG2	AB	0	11
26	28.4743659072192	MG2	AB	0	11
27	30.1106768063725	MG2	AB	0	11
28	31.7206945125046	MG2	AB	0	11
29	33.3031218352962	MG2	AB	0	11
30	34.8570231866686	MG2	AB	0	11
31	36.3817632848028	MG2	AB	0	11
32	37.8769555444937	MG2	AB	0	11
33	39.3424186701983	MG2	AB	0	11
34	40.7781401772804	MG2	AB	0	11
35	42.1842457548453	MG2	AB	0	11
35	0	MG2	AB	0	11
