Edad	VCC20	VCC7	thinning	varname	zone	cal
1	0	0	MG2	VC	0	11
2	0	0	MG2	VC	0	11
3	0	0	MG2	VC	0	11
4	0	0	MG2	VC	0	11
5	0	0	MG2	VC	0	11
6	0	0	MG2	VC	0	11
7	0	0.440906970293895	MG2	VC	0	11
8	0	3.60066044312207	MG2	VC	0	11
9	0	4.59888190106347	MG2	VC	0	11
10	0	9.12171922967838	MG2	VC	0	11
11	0	19.4531493565335	MG2	VC	0	11
12	0	26.3648518828231	MG2	VC	0	11
13	0	34.6065661019118	MG2	VC	0	11
14	0.0500613601875119	49.7196125380139	MG2	VC	0	11
15	0.409841520557647	65.1533029420909	MG2	VC	0	11
16	1.66760941095179	78.8956594048137	MG2	VC	0	11
17	4.22734277149565	93.3327617822686	MG2	VC	0	11
17	4.22734277149565	86.8445338689513	MG2	VC	0	11
18	12.4038513517669	102.469763527192	MG2	VC	0	11
19	19.701812476672	117.040157262949	MG2	VC	0	11
20	29.0408930096797	131.308210740559	MG2	VC	0	11
21	40.6455351019696	148.356330146248	MG2	VC	0	11
22	54.1578876278277	167.195647121644	MG2	VC	0	11
23	68.8557926016972	185.930135195971	MG2	VC	0	11
24	84.0189652126096	204.386731810252	MG2	VC	0	11
25	100.181014671877	222.828299125468	MG2	VC	0	11
25	88.1617426301258	141.45780070493	MG2	VC	0	11
26	102.019753534203	151.8218419408	MG2	VC	0	11
27	115.457470434897	164.919979634549	MG2	VC	0	11
28	128.939763945886	178.089421591106	MG2	VC	0	11
29	142.798994621662	191.355052280352	MG2	VC	0	11
30	157.354022863725	205.451860844032	MG2	VC	0	11
31	172.206582578434	219.945193516282	MG2	VC	0	11
32	186.950448644593	234.180727987946	MG2	VC	0	11
33	200.600627259361	247.428459885283	MG2	VC	0	11
34	215.637225704831	261.955801324829	MG2	VC	0	11
35	230.556669952212	276.294396665416	MG2	VC	0	11
35	0	0	MG2	VC	0	11
