Edad	Area_basimetrica_m2_ha	thinning	varname	zone	cal
1	0.0158545166982305	MG2	AB	1	26
2	1.27656096517724	MG2	AB	1	26
3	6.04431640147442	MG2	AB	1	26
4	13.549486061209	MG2	AB	1	26
5	22.2906443650365	MG2	AB	1	26
6	31.2909752294337	MG2	AB	1	26
7	40.0442040098654	MG2	AB	1	26
8	48.3195846550679	MG2	AB	1	26
9	56.0316295223123	MG2	AB	1	26
10	63.1679675889505	MG2	AB	1	26
11	69.7513084570971	MG2	AB	1	26
12	75.8197018043036	MG2	AB	1	26
13	81.4164097440789	MG2	AB	1	26
14	86.5848247782076	MG2	AB	1	26
15	91.366043118013	MG2	AB	1	26
16	95.7978338389589	MG2	AB	1	26
17	99.9143338292092	MG2	AB	1	26
17	89.5086870897536	MG2	AB	1	26
18	93.3113081596269	MG2	AB	1	26
19	96.8717964996558	MG2	AB	1	26
20	100.211238677331	MG2	AB	1	26
21	103.348651479291	MG2	AB	1	26
22	106.301150666643	MG2	AB	1	26
23	109.084129426668	MG2	AB	1	26
24	111.711433115182	MG2	AB	1	26
25	114.195523400186	MG2	AB	1	26
25	68.4694410886627	MG2	AB	1	26
26	70.6975201200022	MG2	AB	1	26
27	72.8340137846608	MG2	AB	1	26
28	74.8838512080771	MG2	AB	1	26
29	76.8517122384607	MG2	AB	1	26
30	78.742023199167	MG2	AB	1	26
31	80.558958976477	MG2	AB	1	26
32	82.3064493484885	MG2	AB	1	26
33	83.9881880577627	MG2	AB	1	26
34	85.6076435605757	MG2	AB	1	26
35	87.1680706963836	MG2	AB	1	26
35	0	MG2	AB	1	26
