Edad	Dq	thinning	varname	zone	cal
1	0.000223706191110429	MG2	Dq	0	11
2	0.061663617060433	MG2	Dq	0	11
3	0.451552756415796	MG2	Dq	0	11
4	1.26938970459697	MG2	Dq	0	11
5	2.40117058430328	MG2	Dq	0	11
6	3.70702389876494	MG2	Dq	0	11
7	5.0837647088079	MG2	Dq	0	11
8	6.46617100404325	MG2	Dq	0	11
9	7.81612538595453	MG2	Dq	0	11
10	9.11287089344344	MG2	Dq	0	11
11	10.3462884174152	MG2	Dq	0	11
12	11.5126176263366	MG2	Dq	0	11
13	12.6118130672407	MG2	Dq	0	11
14	13.6459295664585	MG2	Dq	0	11
15	14.61814195259	MG2	Dq	0	11
16	15.5321534722491	MG2	Dq	0	11
17	16.3918424822248	MG2	Dq	0	11
17	17.572706109191	MG2	Dq	0	11
18	18.4690229324517	MG2	Dq	0	11
19	19.3147787065541	MG2	Dq	0	11
20	20.113580473583	MG2	Dq	0	11
21	20.8688215019479	MG2	Dq	0	11
22	21.5836627242328	MG2	Dq	0	11
23	22.2610296725126	MG2	Dq	0	11
24	22.9036186126091	MG2	Dq	0	11
25	23.5139078782258	MG2	Dq	0	11
25	27.5439043468181	MG2	Dq	0	11
26	28.3841460773558	MG2	Dq	0	11
27	29.1883174607823	MG2	Dq	0	11
28	29.958505614631	MG2	Dq	0	11
29	30.6966707148194	MG2	Dq	0	11
30	31.4046494551424	MG2	Dq	0	11
31	32.0841600660252	MG2	Dq	0	11
32	32.7368082450949	MG2	Dq	0	11
33	33.3640935526081	MG2	Dq	0	11
34	33.9674159663729	MG2	Dq	0	11
35	34.5480823908732	MG2	Dq	0	11
35	0	MG2	Dq	0	11
