Edad	Dq	thinning	varname	zone	cal
1	0.0970903202421934	MG2	Dq	0	26
2	1.75368390595816	MG2	Dq	0	26
3	4.88944262251693	MG2	Dq	0	26
4	8.32597109511085	MG2	Dq	0	26
5	11.561141874238	MG2	Dq	0	26
6	14.4587429355237	MG2	Dq	0	26
7	17.0124813839193	MG2	Dq	0	26
8	19.2559624694907	MG2	Dq	0	26
9	21.2310943484943	MG2	Dq	0	26
10	22.9775668731146	MG2	Dq	0	26
11	24.5298865359911	MG2	Dq	0	26
12	25.9170776227113	MG2	Dq	0	26
13	27.1632490848003	MG2	Dq	0	26
14	28.2883635567337	MG2	Dq	0	26
15	29.3089742589909	MG2	Dq	0	26
16	30.2388592148339	MG2	Dq	0	26
17	31.0895433022665	MG2	Dq	0	26
17	32.9578518717467	MG2	Dq	0	26
18	33.8506461051773	MG2	Dq	0	26
19	34.6748663033489	MG2	Dq	0	26
20	35.438123858639	MG2	Dq	0	26
21	36.1469597763003	MG2	Dq	0	26
22	36.8070217539839	MG2	Dq	0	26
23	37.4232085670465	MG2	Dq	0	26
24	37.9997881794095	MG2	Dq	0	26
25	38.5404947409185	MG2	Dq	0	26
25	44.5854983897978	MG2	Dq	0	26
26	45.4328607874105	MG2	Dq	0	26
27	46.2351155102213	MG2	Dq	0	26
28	46.9957636061268	MG2	Dq	0	26
29	47.7179598961522	MG2	Dq	0	26
30	48.4045532733177	MG2	Dq	0	26
31	49.0581218141507	MG2	Dq	0	26
32	49.6810033907225	MG2	Dq	0	26
33	50.2753223893755	MG2	Dq	0	26
34	50.8430130645458	MG2	Dq	0	26
35	51.385839985093	MG2	Dq	0	26
35	0	MG2	Dq	0	26
