Edad	Area_basimetrica_m2_ha	thinning	varname	zone	cal
1	2.05459784976481e-05	MG2	AB	1	16
2	0.0326575243319725	MG2	AB	1	16
3	0.44490905623934	MG2	AB	1	16
4	1.72631982475367	MG2	AB	1	16
5	3.98349923296468	MG2	AB	1	16
6	7.04163707468401	MG2	AB	1	16
7	10.6561524267138	MG2	AB	1	16
8	14.6094380344964	MG2	AB	1	16
9	18.7349673364753	MG2	AB	1	16
10	22.9140834711846	MG2	AB	1	16
11	27.0658256551188	MG2	AB	1	16
12	31.136880625086	MG2	AB	1	16
13	35.093522699508	MG2	AB	1	16
14	38.9156387857554	MG2	AB	1	16
15	42.592454465226	MG2	AB	1	16
16	46.1195291452151	MG2	AB	1	16
17	49.4966613214731	MG2	AB	1	16
17	44.3137351752108	MG2	AB	1	16
18	47.3979365038674	MG2	AB	1	16
19	50.3570000508211	MG2	AB	1	16
20	53.1940835058617	MG2	AB	1	16
21	55.9132626064958	MG2	AB	1	16
22	58.5191639679884	MG2	AB	1	16
23	61.0167070936948	MG2	AB	1	16
24	63.4109244314387	MG2	AB	1	16
25	65.7068372778028	MG2	AB	1	16
25	39.632762121362	MG2	AB	1	16
26	41.4463343017242	MG2	AB	1	16
27	43.2068250338656	MG2	AB	1	16
28	44.9153121348668	MG2	AB	1	16
29	46.573052664537	MG2	AB	1	16
30	48.1814279322387	MG2	AB	1	16
31	49.7419006860045	MG2	AB	1	16
32	51.255981897281	MG2	AB	1	16
33	52.7252051084258	MG2	AB	1	16
34	54.1511067435293	MG2	AB	1	16
35	55.5352111224849	MG2	AB	1	16
35	0	MG2	AB	1	16
