Edad	Dq	thinning	varname	zone	cal
1	0.00102862063694314	MG2	Dq	1	11
2	0.134540582809544	MG2	Dq	1	11
3	0.756517135054094	MG2	Dq	1	11
4	1.85418484923069	MG2	Dq	1	11
5	3.22296249968606	MG2	Dq	1	11
6	4.69717131396506	MG2	Dq	1	11
7	6.17731724931563	MG2	Dq	1	11
8	7.61032268711672	MG2	Dq	1	11
9	8.97063251812206	MG2	Dq	1	11
10	10.248085110491	MG2	Dq	1	11
11	11.4408493002585	MG2	Dq	1	11
12	12.5514364165828	MG2	Dq	1	11
13	13.5844738761276	MG2	Dq	1	11
14	14.5454724246432	MG2	Dq	1	11
15	15.4401531620707	MG2	Dq	1	11
16	16.2740907061911	MG2	Dq	1	11
17	17.0525350836048	MG2	Dq	1	11
17	18.2937147676463	MG2	Dq	1	11
18	19.1039243517839	MG2	Dq	1	11
19	19.8637910697173	MG2	Dq	1	11
20	20.5775404670226	MG2	Dq	1	11
21	21.2490122387571	MG2	Dq	1	11
22	21.8816840913354	MG2	Dq	1	11
23	22.4787005096548	MG2	Dq	1	11
24	23.0429028669772	MG2	Dq	1	11
25	23.5768588864996	MG2	Dq	1	11
25	27.6501959004513	MG2	Dq	1	11
26	28.4044353706201	MG2	Dq	1	11
27	29.1241155609365	MG2	Dq	1	11
28	29.8114441445615	MG2	Dq	1	11
29	30.4684650587769	MG2	Dq	1	11
30	31.0970695584633	MG2	Dq	1	11
31	31.6990073023907	MG2	Dq	1	11
32	32.275897141068	MG2	Dq	1	11
33	32.8292374072902	MG2	Dq	1	11
34	33.3604155991906	MG2	Dq	1	11
35	33.8707174044511	MG2	Dq	1	11
35	0	MG2	Dq	1	11
