Edad	VCC20	VCC7	thinning	varname	zone	cal
1	0	0	MG2	VC	1	16
2	0	0	MG2	VC	1	16
3	0	0	MG2	VC	1	16
4	0	0	MG2	VC	1	16
5	0	3.34708745574524	MG2	VC	1	16
6	0	4.44518707772158	MG2	VC	1	16
7	0	20.80516471115	MG2	VC	1	16
8	0	30.1126403411799	MG2	VC	1	16
9	0	46.528614479603	MG2	VC	1	16
10	0.109291072148706	75.2916985423173	MG2	VC	1	16
11	2.33479848663079	95.7092354175279	MG2	VC	1	16
12	8.83889993440674	122.161387208826	MG2	VC	1	16
13	18.2942488424683	149.983110116817	MG2	VC	1	16
14	31.6308184449058	174.687958817559	MG2	VC	1	16
15	50.1391773915277	201.201537868739	MG2	VC	1	16
16	74.4556874355586	235.274924401353	MG2	VC	1	16
17	100.735378812793	269.019249659759	MG2	VC	1	16
17	100.735378812793	243.502666784717	MG2	VC	1	16
18	135.601278084727	269.716406402576	MG2	VC	1	16
19	163.643542058161	300.342791676905	MG2	VC	1	16
20	192.50291122123	331.698512393564	MG2	VC	1	16
21	221.050301912315	361.501320128491	MG2	VC	1	16
22	248.74026365765	389.821332000517	MG2	VC	1	16
23	276.483819769487	417.439836686999	MG2	VC	1	16
24	302.678595738977	443.361758554857	MG2	VC	1	16
25	331.206364360264	472.429130976081	MG2	VC	1	16
25	241.018515312383	292.535997227239	MG2	VC	1	16
26	257.994468541684	309.808222130199	MG2	VC	1	16
27	279.209652726234	330.172961589619	MG2	VC	1	16
28	299.648193540081	349.999765364217	MG2	VC	1	16
29	321.587444478246	371.412385735279	MG2	VC	1	16
30	341.547667055366	390.869572452518	MG2	VC	1	16
31	362.166161838156	410.860938276011	MG2	VC	1	16
32	381.61102828101	429.790871828077	MG2	VC	1	16
33	400.120076737435	447.797083248794	MG2	VC	1	16
34	419.277514888806	466.308319869516	MG2	VC	1	16
35	436.698498065859	483.235472424154	MG2	VC	1	16
35	0	0	MG2	VC	1	16
