Edad	Dq	thinning	varname	zone	cal
1	0.00329609683238945	MG2	Dq	0	16
2	0.271361147193142	MG2	Dq	0	16
3	1.29501793751775	MG2	Dq	0	16
4	2.91493015840004	MG2	Dq	0	16
5	4.80754841956985	MG2	Dq	0	16
6	6.76031059693667	MG2	Dq	0	16
7	8.66223794596056	MG2	Dq	0	16
8	10.4622984961396	MG2	Dq	0	16
9	12.1412413963212	MG2	Dq	0	16
10	13.6959009498105	MG2	Dq	0	16
11	15.1308828600402	MG2	Dq	0	16
12	16.454231242717	MG2	Dq	0	16
13	17.6751954954493	MG2	Dq	0	16
14	18.8031031945067	MG2	Dq	0	16
15	19.846817118877	MG2	Dq	0	16
16	20.8145005500813	MG2	Dq	0	16
17	21.7135436705032	MG2	Dq	0	16
17	22.9333817828946	MG2	Dq	0	16
18	23.8671605604139	MG2	Dq	0	16
19	24.7400743581531	MG2	Dq	0	16
20	25.5576062794327	MG2	Dq	0	16
21	26.3246673771108	MG2	Dq	0	16
22	27.0456522978203	MG2	Dq	0	16
23	27.72449391213	MG2	Dq	0	16
24	28.3647145020069	MG2	Dq	0	16
25	28.9694724468578	MG2	Dq	0	16
25	33.5632073689165	MG2	Dq	0	16
26	34.4263356630997	MG2	Dq	0	16
27	35.2487079145631	MG2	Dq	0	16
28	36.0330402030317	MG2	Dq	0	16
29	36.7818321809825	MG2	Dq	0	16
30	37.4973845104027	MG2	Dq	0	16
31	38.181815482111	MG2	Dq	0	16
32	38.8370766024379	MG2	Dq	0	16
33	39.4649670503573	MG2	Dq	0	16
34	40.0671469833998	MG2	Dq	0	16
35	40.6451497173001	MG2	Dq	0	16
35	0	MG2	Dq	0	16
