Edad	Dm	thinning	varname	zone	cal
1	0.00101776651628632	MG2	Dm	1	11
2	0.131876218088663	MG2	Dm	1	11
3	0.739709488152342	MG2	Dm	1	11
4	1.81169504200141	MG2	Dm	1	11
5	3.14842166798929	MG2	Dm	1	11
6	4.58821481316581	MG2	Dm	1	11
7	6.03381697699773	MG2	Dm	1	11
8	7.43324694306803	MG2	Dm	1	11
9	8.76142455821947	MG2	Dm	1	11
10	10.0083449848928	MG2	Dm	1	11
11	11.172177975482	MG2	Dm	1	11
12	12.2553641130855	MG2	Dm	1	11
13	13.2624313677677	MG2	Dm	1	11
14	14.1987837796646	MG2	Dm	1	11
15	15.0700387420519	MG2	Dm	1	11
16	15.8816746416735	MG2	Dm	1	11
17	16.6388542791175	MG2	Dm	1	11
17	17.880033963159	MG2	Dm	1	11
18	18.6699375645075	MG2	Dm	1	11
19	19.4103873899467	MG2	Dm	1	11
20	20.1055469364951	MG2	Dm	1	11
21	20.7592005499634	MG2	Dm	1	11
22	21.3747764106761	MG2	Dm	1	11
23	21.9553745101433	MG2	Dm	1	11
24	22.5037960694537	MG2	Dm	1	11
25	23.0225724068197	MG2	Dm	1	11
25	27.0959094207714	MG2	Dm	1	11
26	27.8355371620181	MG2	Dm	1	11
27	28.5411432299777	MG2	Dm	1	11
28	29.2149074079736	MG2	Dm	1	11
29	29.8588478980351	MG2	Dm	1	11
30	30.4748321197455	MG2	Dm	1	11
31	31.0645875815249	MG2	Dm	1	11
32	31.6297124863306	MG2	Dm	1	11
33	32.1716858672601	MG2	Dm	1	11
34	32.6918771381737	MG2	Dm	1	11
35	33.1915550041285	MG2	Dm	1	11
35	0	MG2	Dm	1	11
