Edad	Dq	thinning	varname	zone	cal
1	0.0144664998692798	MG2	Dq	1	16
2	0.576755417227221	MG2	Dq	1	16
3	2.12880399138057	MG2	Dq	1	16
4	4.1933458409596	MG2	Dq	1	16
5	6.3698971733194	MG2	Dq	1	16
6	8.46909241095451	MG2	Dq	1	16
7	10.4183817032848	MG2	Dq	1	16
8	12.1987914915794	MG2	Dq	1	16
9	13.8142249242213	MG2	Dq	1	16
10	15.277465027124	MG2	Dq	1	16
11	16.6039223161287	MG2	Dq	1	16
12	17.8089208458138	MG2	Dq	1	16
13	18.9066043201998	MG2	Dq	1	16
14	19.9095816552038	MG2	Dq	1	16
15	20.8289024833202	MG2	Dq	1	16
16	21.6741704878879	MG2	Dq	1	16
17	22.4537046434414	MG2	Dq	1	16
17	23.7533155580437	MG2	Dq	1	16
18	24.5660186223918	MG2	Dq	1	16
19	25.3212408501116	MG2	Dq	1	16
20	26.0247594927614	MG2	Dq	1	16
21	26.6816373234013	MG2	Dq	1	16
22	27.2963209405377	MG2	Dq	1	16
23	27.8727258016174	MG2	Dq	1	16
24	28.4143091688538	MG2	Dq	1	16
25	28.9241324124989	MG2	Dq	1	16
25	33.4869792274218	MG2	Dq	1	16
26	34.2445816694712	MG2	Dq	1	16
27	34.9643114032233	MG2	Dq	1	16
28	35.6488901414384	MG2	Dq	1	16
29	36.3007965543218	MG2	Dq	1	16
30	36.9222905769322	MG2	Dq	1	16
31	37.5154353370301	MG2	Dq	1	16
32	38.0821168458804	MG2	Dq	1	16
33	38.6240616278161	MG2	Dq	1	16
34	39.1428524756966	MG2	Dq	1	16
35	39.6399425177192	MG2	Dq	1	16
35	0	MG2	Dq	1	16
