Edad	VCC20	VCC7	thinning	varname	zone	cal
1	0	0	MG2	VC	1	26
2	0	0	MG2	VC	1	26
3	0	4.02124076426838	MG2	VC	1	26
4	0	30.69243118052	MG2	VC	1	26
5	0	79.6109755407005	MG2	VC	1	26
6	0.793165251236106	119.540744065977	MG2	VC	1	26
7	28.0695100224598	185.953219286907	MG2	VC	1	26
8	63.2018474720338	236.09671987352	MG2	VC	1	26
9	145.118493776324	329.121373415754	MG2	VC	1	26
10	215.743117481675	403.477718006385	MG2	VC	1	26
11	293.318587708458	485.408079234494	MG2	VC	1	26
12	369.40028609539	564.126924220697	MG2	VC	1	26
13	438.733625249446	631.987973381551	MG2	VC	1	26
14	513.774831415121	707.544306967896	MG2	VC	1	26
15	591.992009711201	787.362913770309	MG2	VC	1	26
16	666.705690892618	862.368125705307	MG2	VC	1	26
17	735.634621915771	931.23424645862	MG2	VC	1	26
17	699.229959118056	840.861125183228	MG2	VC	1	26
18	754.854330243261	897.36017583873	MG2	VC	1	26
19	818.444960098561	960.149443562784	MG2	VC	1	26
20	876.22224715662	1017.13700580741	MG2	VC	1	26
21	930.678533846416	1070.56833984699	MG2	VC	1	26
22	980.327453544186	1119.13899236691	MG2	VC	1	26
23	1032.65631576837	1171.10604216176	MG2	VC	1	26
24	1084.30066032261	1222.6763232329	MG2	VC	1	26
25	1135.66493322183	1273.73736730958	MG2	VC	1	26
25	737.922833133518	782.048438914478	MG2	VC	1	26
26	754.27805512667	802.130105030904	MG2	VC	1	26
27	791.600996215945	838.882216142011	MG2	VC	1	26
28	825.246270674286	872.130335186722	MG2	VC	1	26
29	862.130547031653	908.328897881545	MG2	VC	1	26
30	889.133474429423	935.213725326035	MG2	VC	1	26
31	921.994386273893	967.512034409168	MG2	VC	1	26
32	952.237331291242	997.372403253214	MG2	VC	1	26
33	983.81885676237	1028.47556348738	MG2	VC	1	26
34	1011.0279320444	1055.50673819576	MG2	VC	1	26
35	1037.52755294292	1081.88941706084	MG2	VC	1	26
35	0	0	MG2	VC	1	26
