Edad	Altura.dominante	thinning	varname	zone	cal
1	0.209128591870871	MG2	Hdom	0	11
2	0.578047569474065	MG2	Hdom	0	11
3	1.03827997815385	MG2	Hdom	0	11
4	1.56135100634195	MG2	Hdom	0	11
5	2.12876078690426	MG2	Hdom	0	11
6	2.72693651884799	MG2	Hdom	0	11
7	3.3453857676783	MG2	Hdom	0	11
8	3.97579856081533	MG2	Hdom	0	11
9	4.61152512749688	MG2	Hdom	0	11
10	5.24723139756053	MG2	Hdom	0	11
11	5.87865066605733	MG2	Hdom	0	11
12	6.50239340287545	MG2	Hdom	0	11
13	7.11579569888134	MG2	Hdom	0	11
14	7.71679544681445	MG2	Hdom	0	11
15	8.30382964662251	MG2	Hdom	0	11
16	8.87574849774283	MG2	Hdom	0	11
17	9.43174321710176	MG2	Hdom	0	11
17	9.43174321710176	MG2	Hdom	0	11
18	9.97128528423281	MG2	Hdom	0	11
19	10.4940753025121	MG2	Hdom	0	11
20	11	MG2	Hdom	0	11
21	11.4890961386913	MG2	Hdom	0	11
22	11.9615202913734	MG2	Hdom	0	11
23	12.4175235995466	MG2	Hdom	0	11
24	12.8574307545487	MG2	Hdom	0	11
25	13.2816225533446	MG2	Hdom	0	11
25	13.2816225533446	MG2	Hdom	0	11
26	13.6905214742498	MG2	Hdom	0	11
27	14.0845797987202	MG2	Hdom	0	11
28	14.4642698751437	MG2	Hdom	0	11
29	14.8300761807722	MG2	Hdom	0	11
30	15.1824888897744	MG2	Hdom	0	11
31	15.5219986999097	MG2	Hdom	0	11
32	15.8490927084781	MG2	Hdom	0	11
33	16.1642511607982	MG2	Hdom	0	11
34	16.467944922261	MG2	Hdom	0	11
35	16.7606335486444	MG2	Hdom	0	11
35	0	MG2	Hdom	0	11
