Edad	Area_basimetrica_m2_ha	thinning	varname	zone	cal
1	1.06659567453464e-06	MG2	AB	0	16
2	0.00722928302361347	MG2	AB	0	16
3	0.164646105423308	MG2	AB	0	16
4	0.834173139638604	MG2	AB	0	16
5	2.26906652228941	MG2	AB	0	16
6	4.48676366085538	MG2	AB	0	16
7	7.36648167883113	MG2	AB	0	16
8	10.7461799190635	MG2	AB	0	16
9	14.4719176424108	MG2	AB	0	16
10	18.4153979118318	MG2	AB	0	16
11	22.4764869531953	MG2	AB	0	16
12	26.5800067736978	MG2	AB	0	16
13	30.6710289801883	MG2	AB	0	16
14	34.7103468476556	MG2	AB	0	16
15	38.6706640728866	MG2	AB	0	16
16	42.5335745874367	MG2	AB	0	16
17	46.2872423221937	MG2	AB	0	16
17	41.3072310057254	MG2	AB	0	16
18	44.7395272611537	MG2	AB	0	16
19	48.0719658588879	MG2	AB	0	16
20	51.3015199249378	MG2	AB	0	16
21	54.4271590825955	MG2	AB	0	16
22	57.4493080457015	MG2	AB	0	16
23	60.3694384031728	MG2	AB	0	16
24	63.1897612752602	MG2	AB	0	16
25	65.912996287263	MG2	AB	0	16
25	39.8134036989434	MG2	AB	0	16
26	41.8874567979052	MG2	AB	0	16
27	43.9125643444477	MG2	AB	0	16
28	45.8885365474975	MG2	AB	0	16
29	47.8155452273606	MG2	AB	0	16
30	49.6940448418176	MG2	AB	0	16
31	51.5247085901611	MG2	AB	0	16
32	53.3083767596784	MG2	AB	0	16
33	55.0460150116046	MG2	AB	0	16
34	56.7386807386255	MG2	AB	0	16
35	58.3874959796676	MG2	AB	0	16
35	0	MG2	AB	0	16
