Edad	VCC20	VCC7	thinning	varname	zone	cal
1	0	0	M2	VC	1	21
2	0	0	M2	VC	1	21
3	0	0	M2	VC	1	21
4	0	3.90808822331808	M2	VC	1	21
5	0	23.2895002840667	M2	VC	1	21
6	0	34.1856735227686	M2	VC	1	21
7	0	75.6210502430116	M2	VC	1	21
8	1.34020629282164	106.296517636991	M2	VC	1	21
9	14.2919669693077	146.622314617422	M2	VC	1	21
10	31.8644427235753	187.176634532115	M2	VC	1	21
11	63.1323281577357	227.473198910658	M2	VC	1	21
12	108.280044287642	283.923855712059	M2	VC	1	21
13	154.332832495667	336.247800314669	M2	VC	1	21
14	199.637859226623	384.103468292107	M2	VC	1	21
14	196.459038345704	345.519082602999	M2	VC	1	21
15	251.259669844489	394.721983281847	M2	VC	1	21
16	296.142432509143	439.298932999145	M2	VC	1	21
17	338.90499113306	480.719602056999	M2	VC	1	21
18	388.60897274461	531.454347978488	M2	VC	1	21
19	437.965234588347	581.339874207965	M2	VC	1	21
20	484.893738366451	628.223039764895	M2	VC	1	21
21	529.338684775923	672.527395709136	M2	VC	1	21
22	571.780868146634	714.379567945665	M2	VC	1	21
22	511.269775863353	597.060778580516	M2	VC	1	21
23	542.041819125729	629.019240091055	M2	VC	1	21
24	578.733493463758	665.000311973451	M2	VC	1	21
25	614.901068198283	700.229978590993	M2	VC	1	21
26	649.031845225909	733.492146783018	M2	VC	1	21
27	682.179805162183	766.001458736767	M2	VC	1	21
28	718.601884406942	801.973150068898	M2	VC	1	21
29	751.923958151388	835.037678225049	M2	VC	1	21
30	784.986900855658	867.739423286839	M2	VC	1	21
30	488.748663394506	513.589434399062	M2	VC	1	21
31	500.08564193421	527.144353415147	M2	VC	1	21
32	523.853163606541	550.601141355131	M2	VC	1	21
33	542.170868887402	568.858729549562	M2	VC	1	21
34	566.077413891588	592.452195962372	M2	VC	1	21
35	585.042818813303	611.17143192065	M2	VC	1	21
36	609.983583495558	635.745762009147	M2	VC	1	21
37	627.076039895336	652.721694383692	M2	VC	1	21
38	647.614453233757	672.983326022257	M2	VC	1	21
39	662.957962339471	688.309824856882	M2	VC	1	21
40	685.216775340691	710.290722636802	M2	VC	1	21
40	0	0	M2	VC	1	21
