Edad	Dm	thinning	varname	zone	cal
1	2.7771755820552e-05	M4	Dm	1	7
2	0.0194777497497687	M4	Dm	1	7
3	0.193380413543379	M4	Dm	1	7
4	0.633650174796106	M4	Dm	1	7
5	1.3153863618207	M4	Dm	1	7
6	2.16210024895463	M4	Dm	1	7
7	3.1022813795522	M4	Dm	1	7
8	4.08333536274124	M4	Dm	1	7
9	5.0701807337499	M4	Dm	1	7
10	6.04071019108496	M4	Dm	1	7
11	6.98168278164965	M4	Dm	1	7
12	7.88569877374674	M4	Dm	1	7
13	8.74912831221194	M4	Dm	1	7
14	9.57073541475849	M4	Dm	1	7
15	10.3507758629603	M4	Dm	1	7
15	11.8146757814778	M4	Dm	1	7
16	12.7509145853778	M4	Dm	1	7
17	13.6442049627355	M4	Dm	1	7
18	14.4958061478418	M4	Dm	1	7
19	15.3073542591201	M4	Dm	1	7
20	16.0806929369909	M4	Dm	1	7
21	16.817759780608	M4	Dm	1	7
22	17.5205110211253	M4	Dm	1	7
23	18.1908724247749	M4	Dm	1	7
24	18.8307081902215	M4	Dm	1	7
25	19.441802170982	M4	Dm	1	7
25	0	M4	Dm	1	7
