Edad	Dq	thinning	varname	zone	cal
1	3.8604279860325e-05	M4	Dq	1	7
2	0.0221275546373503	M4	Dq	1	7
3	0.210024405171077	M4	Dq	1	7
4	0.675523538770543	M4	Dq	1	7
5	1.38846754916026	M4	Dq	1	7
6	2.26835288009827	M4	Dq	1	7
7	3.24146173889022	M4	Dq	1	7
8	4.25414895256685	M4	Dq	1	7
9	5.2709081998939	M4	Dq	1	7
10	6.26952432868556	M4	Dq	1	7
11	7.23680076802364	M4	Dq	1	7
12	8.16544923714703	M4	Dq	1	7
13	9.05197524027882	M4	Dq	1	7
14	9.89528078309819	M4	Dq	1	7
15	10.6957523321492	M4	Dq	1	7
15	12.1596522506667	M4	Dq	1	7
16	13.1151741131698	M4	Dq	1	7
17	14.0267062934085	M4	Dq	1	7
18	14.895602623184	M4	Dq	1	7
19	15.723582598864	M4	Dq	1	7
20	16.5125632228679	M4	Dq	1	7
21	17.2645466692574	M4	Dq	1	7
22	17.9815461115663	M4	Dq	1	7
23	18.6655376646668	M4	Dq	1	7
24	19.3184301938276	M4	Dq	1	7
25	19.9420473254815	M4	Dq	1	7
25	0	M4	Dq	1	7
