Edad	VCC20	VCC7	thinning	varname	zone	cal
1	0	0	M4	VC	1	11
2	0	0	M4	VC	1	11
3	0	0	M4	VC	1	11
4	0	0	M4	VC	1	11
5	0	0	M4	VC	1	11
6	0	0.0208188124467257	M4	VC	1	11
7	0	2.98151002426263	M4	VC	1	11
8	0	3.80255241989045	M4	VC	1	11
9	0	6.63104554691834	M4	VC	1	11
10	0	17.1926957486684	M4	VC	1	11
11	0	24.0023089798735	M4	VC	1	11
12	0	30.9106309079758	M4	VC	1	11
13	0.0223552780894224	45.0929443225256	M4	VC	1	11
14	0.223039583717169	60.2713595660224	M4	VC	1	11
15	1.1690756057929	73.6718497967477	M4	VC	1	11
15	1.1690756057929	58.8916061865529	M4	VC	1	11
16	9.55873975245702	68.7903121145622	M4	VC	1	11
17	16.3152953626589	80.3063863922044	M4	VC	1	11
18	25.055395376219	91.5836061350863	M4	VC	1	11
19	36.1389926543566	106.64212699961	M4	VC	1	11
20	48.1471104389298	121.516186450455	M4	VC	1	11
21	60.9599727793686	136.44713623863	M4	VC	1	11
22	74.6535611750199	151.313128684128	M4	VC	1	11
23	87.998536584054	165.648425760028	M4	VC	1	11
24	102.819443221775	181.397409009731	M4	VC	1	11
25	117.560226882762	196.991879987679	M4	VC	1	11
25	0	0	M4	VC	1	11
