Edad	Area_basimetrica_m2_ha	thinning	varname	zone	cal
1	0.0158545166982305	M4	AB	1	26
2	1.27656096517724	M4	AB	1	26
3	6.04431640147442	M4	AB	1	26
4	13.549486061209	M4	AB	1	26
5	22.2906443650365	M4	AB	1	26
6	31.2909752294337	M4	AB	1	26
7	40.0442040098654	M4	AB	1	26
8	48.3195846550679	M4	AB	1	26
9	56.0316295223123	M4	AB	1	26
10	63.1679675889505	M4	AB	1	26
11	69.7513084570971	M4	AB	1	26
12	75.8197018043036	M4	AB	1	26
13	81.4164097440789	M4	AB	1	26
14	86.5848247782076	M4	AB	1	26
15	91.366043118013	M4	AB	1	26
15	63.3392202853506	M4	AB	1	26
16	67.4410484699572	M4	AB	1	26
17	71.3067411081851	M4	AB	1	26
18	74.9518919612236	M4	AB	1	26
19	78.3917719714769	M4	AB	1	26
20	81.6409789646195	M4	AB	1	26
21	84.7132552300332	M4	AB	1	26
22	87.621409210231	M4	AB	1	26
23	90.3773008202057	M4	AB	1	26
24	92.9918646488117	M4	AB	1	26
25	95.4751546744221	M4	AB	1	26
25	0	M4	AB	1	26
