Edad	VCC20	VCC7	thinning	varname	zone	cal
1	0	0	M4	VC	0	7
2	0	0	M4	VC	0	7
3	0	0	M4	VC	0	7
4	0	0	M4	VC	0	7
5	0	0	M4	VC	0	7
6	0	0	M4	VC	0	7
7	0	0	M4	VC	0	7
8	0	0.00320791023953622	M4	VC	0	7
9	0	0.227729707199877	M4	VC	0	7
10	0	2.16580775112737	M4	VC	0	7
11	0	2.98225000623639	M4	VC	0	7
12	0	3.83249368959487	M4	VC	0	7
13	0	5.69357298874068	M4	VC	0	7
14	0	9.93465532279952	M4	VC	0	7
15	0	14.910746187046	M4	VC	0	7
15	0	13.0590726033578	M4	VC	0	7
16	0	14.9402474136662	M4	VC	0	7
17	0.0347260647529539	20.2783781450838	M4	VC	0	7
18	0.169165909672791	26.0383681441779	M4	VC	0	7
19	0.596401104400668	31.6557732323563	M4	VC	0	7
20	1.3833585826279	37.1228794083748	M4	VC	0	7
21	2.72061883405742	43.0332193779903	M4	VC	0	7
22	4.49996361487173	49.5526632840863	M4	VC	0	7
23	7.04578430153585	56.2147822518826	M4	VC	0	7
24	10.4020288896525	63.0125632488494	M4	VC	0	7
25	14.4549127573388	69.7100920803112	M4	VC	0	7
25	0	0	M4	VC	0	7
