Edad	VCC20	VCC7	thinning	varname	zone	cal
1	0	0	M4	VC	0	21
2	0	0	M4	VC	0	21
3	0	0	M4	VC	0	21
4	0	0	M4	VC	0	21
5	0	4.70123988949909	M4	VC	0	21
6	0	24.0885855850397	M4	VC	0	21
7	0	35.8974858119865	M4	VC	0	21
8	0	70.6099914016762	M4	VC	0	21
9	1.28554771792901	104.815617594267	M4	VC	0	21
10	11.933954273691	142.373921583384	M4	VC	0	21
11	29.1680462700618	184.393713818227	M4	VC	0	21
12	57.7890749647933	223.975518817414	M4	VC	0	21
13	101.602084213715	280.534787612936	M4	VC	0	21
14	149.680706293525	336.345279210986	M4	VC	0	21
15	198.448126559115	388.993491719496	M4	VC	0	21
15	179.979439917056	280.054042742627	M4	VC	0	21
16	224.888656521854	321.007758116908	M4	VC	0	21
17	270.486366808095	365.492059996097	M4	VC	0	21
18	319.46238908374	414.174219322176	M4	VC	0	21
19	369.850719760107	463.751905403774	M4	VC	0	21
20	418.444195439534	511.353006197353	M4	VC	0	21
21	466.745677755881	558.748791328244	M4	VC	0	21
22	517.152536534691	608.511988759591	M4	VC	0	21
23	566.540626389861	657.115623232358	M4	VC	0	21
24	614.130073057357	703.942537384689	M4	VC	0	21
25	659.474784412816	748.665198339603	M4	VC	0	21
25	0	0	M4	VC	0	21
