Edad	VCC20	VCC7	thinning	varname	zone	cal
1	0	0	M4	VC	1	21
2	0	0	M4	VC	1	21
3	0	0	M4	VC	1	21
4	0	3.90808822331808	M4	VC	1	21
5	0	23.2895002840667	M4	VC	1	21
6	0	34.1856735227686	M4	VC	1	21
7	0	75.6210502430116	M4	VC	1	21
8	1.34020629282164	106.296517636991	M4	VC	1	21
9	14.2919669693077	146.622314617422	M4	VC	1	21
10	31.8644427235753	187.176634532115	M4	VC	1	21
11	63.1323281577357	227.473198910658	M4	VC	1	21
12	108.280044287642	283.923855712059	M4	VC	1	21
13	154.332832495667	336.247800314669	M4	VC	1	21
14	199.637859226623	384.103468292107	M4	VC	1	21
15	249.43510337895	438.974860869244	M4	VC	1	21
15	226.396926884134	321.148247580924	M4	VC	1	21
16	260.086730793424	350.842843416399	M4	VC	1	21
17	304.898395475066	395.454164319115	M4	VC	1	21
18	348.884852283651	438.698479657098	M4	VC	1	21
19	390.764165572034	479.635569919544	M4	VC	1	21
20	430.88814706861	518.54461906334	M4	VC	1	21
21	472.890527507969	560.026346251567	M4	VC	1	21
22	514.234426059063	600.631232330564	M4	VC	1	21
23	552.603372901227	638.328043710894	M4	VC	1	21
24	589.84519082518	674.768716326966	M4	VC	1	21
25	625.279942807961	709.407735958148	M4	VC	1	21
25	0	0	M4	VC	1	21
