"","RegimenClara","Edad","Zona","Calidad","N","Vol.comercial20","Vol.comercial7","Vol.comercial7a20","costes.fijos","costes.variables","ing.fijos","E1_VCC20","E1_VCC7","E3_VCC20","E3_VCC7","turno","costes.var.tot","costes.tot","ingresos.Esc.1","ingresos.Esc.2","renta.Esc.1","renta.Esc.2","tiempo","renta.ant.act.Esc1.Int1","renta.act.Esc1.Int1","renta.ant.act.Esc1.Int2","renta.act.Esc1.Int2","renta.ant.act.Esc1.Int3","renta.act.Esc1.Int3","renta.ant.act.Esc2.Int1","renta.act.Esc2.Int1","renta.ant.act.Esc2.Int2","renta.act.Esc2.Int2","renta.ant.act.Esc2.Int3","renta.act.Esc2.Int3"
"58","M2",40,"zona costera","16",0,447.465,472.328,24.863,0,10.56,0,44.5,12,57.75,18,40,4987.78368,4987.78368,20210.5485,26288.63775,15222.76482,21300.85407,10,2496.00339046045,17718.7682104605,2119.60727704789,17342.3720970479,1384.48754871318,16607.2523687132,5310.19453195932,26611.0486019593,5297.79908371619,26598.6531537162,4977.31429386556,26278.1683638656
"9","M2",1,"zona costera","21",1250,0,0,0,2200,0,0,0,0,0,0,40,0,2200,0,0,-2200,-2200,0,0,-2200,0,-2200,0,-2200,0,-2200,0,-2200,0,-2200
"38","M2",3,"zona costera","21",1250,0,0,0,0,0,1527,0,0,0,0,40,0,0,1527,1527,1527,1527,2,-2288.88,-761.88,-2333.98,-806.98,-2379.52,-852.52,-2288.88,-761.88,-2333.98,-806.98,-2379.52,-852.52
"20","M2",14,"zona costera","21",1000,3.179,38.584,35.405,0,10.56,0,20,12,24,18,40,407.44704,407.44704,488.44,713.586,80.9929599999999,306.13896,11,-947.302018079718,-866.309058079718,-1117.04904899721,-1036.05608899721,-1312.41537208973,-1231.42241208973,-947.302018079718,-641.163058079718,-1117.04904899721,-810.910088997214,-1312.41537208973,-1006.27641208973
"25","M2",22,"zona costera","21",700,60.511,117.319,56.808,0,10.56,0,20,12,24,18,40,1238.88864,1238.88864,1891.916,2474.808,653.02736,1235.91936,8,-1015.01913474634,-361.991774746338,-1312.44485618114,-659.417496181136,-1685.28660116142,-1032.25924116142,-751.224711751202,484.694648248798,-1027.23663943704,208.68272056296,-1377.15875373887,-141.239393738869
"49","M2",30,"zona costera","21",300,296.238,354.15,57.912,0,10.56,0,30.72,12,40.12,18,40,3739.824,3739.824,9795.37536,12927.48456,6055.55136,9187.66056,8,-424.131058727206,5631.42030127279,-835.330355305795,5220.2210046942,-1412.71804944835,4642.83331055165,567.897031542297,9755.5575915423,264.353026911731,9452.01358691173,-193.295862969021,8994.36469703098
"51","M2",40,"zona costera","21",0,685.217,710.291,25.0740000000001,0,10.56,0,44.5,12,57.75,18,40,7500.67296,7500.67296,30793.0445,40022.61375,23292.37154,32521.94079,10,6864.66992389673,30157.0414638967,7015.54051200477,30307.9120520048,6872.5274737726,30164.8990137726,11891.9702680276,44413.9110580276,12702.7158772339,45224.6566672339,13313.8569392514,45835.7977292514
"2","M2",1,"zona costera","26",1250,0,0,0,2200,0,0,0,0,0,0,40,0,2200,0,0,-2200,-2200,0,0,-2200,0,-2200,0,-2200,0,-2200,0,-2200,0,-2200
"39","M2",3,"zona costera","26",1250,0,0,0,0,0,1527,0,0,0,0,40,0,0,1527,1527,1527,1527,2,-2288.88,-761.88,-2333.98,-806.98,-2379.52,-852.52,-2288.88,-761.88,-2333.98,-806.98,-2379.52,-852.52
"16","M2",14,"zona costera","26",1000,14.487,66.111,51.624,0,10.56,0,20,12,24,18,40,698.13216,698.13216,909.228,1276.92,211.09584,578.78784,11,-947.302018079718,-736.206178079718,-1117.04904899721,-905.953208997214,-1312.41537208973,-1101.31953208973,-947.302018079718,-368.514178079718,-1117.04904899721,-538.261208997214,-1312.41537208973,-733.627532089731
"22","M2",22,"zona costera","26",700,126.969,185.471,58.502,0,10.56,0,20,12,24,18,40,1958.57376,1958.57376,3241.404,4100.292,1282.83024,2141.71824,8,-862.582874898926,420.247365101074,-1147.63442029477,135.195819705228,-1507.23182622482,-224.401586224824,-431.773093779441,1709.94514622056,-681.853195529197,1459.8650444708,-1004.01993494321,1137.69830505679
"42","M2",30,"zona costera","26",300,460.073,515.36,55.287,0,10.56,0,30.72,12,40.12,18,40,5442.2016,5442.2016,14796.88656,19453.29476,9354.68496,14011.09316,8,492.386767662158,9847.07172766216,171.262019531257,9525.94697953126,-307.109065769144,9047.57589423085,2003.47327156861,16014.5664315686,1849.31336119921,15860.4065211992,1557.01868899926,15568.1118489993
