"","RegimenClara","Edad","Zona","Calidad","N","Vol.comercial20","Vol.comercial7","Vol.comercial7a20","costes.fijos","costes.variables","ing.fijos","E1_VCC20","E1_VCC7","E3_VCC20","E3_VCC7","turno","costes.var.tot","costes.tot","ingresos.Esc.1","ingresos.Esc.2","renta.Esc.1","renta.Esc.2","tiempo","renta.ant.act.Esc1.Int1","renta.act.Esc1.Int1","renta.ant.act.Esc1.Int2","renta.act.Esc1.Int2","renta.ant.act.Esc1.Int3","renta.act.Esc1.Int3","renta.ant.act.Esc2.Int1","renta.act.Esc2.Int1","renta.ant.act.Esc2.Int2","renta.act.Esc2.Int2","renta.ant.act.Esc2.Int3","renta.act.Esc2.Int3"
"65","M4",1,"zona costera","21",1250,0,0,0,2200,0,0,0,0,0,0,25,0,2200,0,0,-2200,-2200,0,0,-2200,0,-2200,0,-2200,0,-2200,0,-2200,0,-2200
"98","M4",3,"zona costera","21",1250,0,0,0,0,0,1527,0,0,0,0,25,0,0,1527,1527,1527,1527,2,-2288.88,-761.88,-2333.98,-806.98,-2379.52,-852.52,-2288.88,-761.88,-2333.98,-806.98,-2379.52,-852.52
"79","M4",15,"zona costera","21",700,23.038,117.827,94.789,0,0,0,20,12,24,18,25,0,0,1598.228,2259.114,1598.228,2259.114,12,-966.248058441312,631.979941558688,-1150.56052046713,447.66747953287,-1364.91198697332,233.316013026679,-966.248058441312,1292.86594155869,-1150.56052046713,1108.55347953287,-1364.91198697332,894.202013026679
"84","M4",25,"zona costera","21",0,625.28,709.408,84.128,0,10.56,0,20,12,24,18,25,7491.34848,7491.34848,13515.136,16521.024,6023.78752,9029.67552,10,770.380022308653,6794.16754230865,601.627658243924,6625.41517824392,345.364694862676,6369.15221486267,1575.99636856131,10605.6718885613,1489.80317852314,10519.4786985231,1323.63741934522,10353.3129393452
"68","M4",1,"zona costera","26",1250,0,0,0,2200,0,0,0,0,0,0,25,0,2200,0,0,-2200,-2200,0,0,-2200,0,-2200,0,-2200,0,-2200,0,-2200,0,-2200
"99","M4",3,"zona costera","26",1250,0,0,0,0,0,1527,0,0,0,0,25,0,0,1527,1527,1527,1527,2,-2288.88,-761.88,-2333.98,-806.98,-2379.52,-852.52,-2288.88,-761.88,-2333.98,-806.98,-2379.52,-852.52
"78","M4",15,"zona costera","26",700,126.548,231.007,104.459,0,0,0,20,12,24,18,25,0,0,3784.468,4917.414,3784.468,4917.414,12,-966.248058441312,2818.21994155869,-1150.56052046713,2633.90747953287,-1364.91198697332,2419.55601302668,-966.248058441312,3951.16594155869,-1150.56052046713,3766.85347953287,-1364.91198697332,3552.50201302668
"87","M4",25,"zona costera","26",0,981.459,1063.993,82.534,0,10.56,0,20,12,24,18,25,11235.76608,11235.76608,20619.588,25040.628,9383.82192,13804.86192,10,3435.39438307799,12819.216303078,3539.75140342122,12923.5733234212,3581.53396032256,12965.3558803226,4816.44923523337,18621.3111552334,5062.33608973362,18867.1980097336,5258.57080194366,19063.4327219437
"69","M4",1,"zona interior","7",1250,0,0,0,2200,0,0,0,0,0,0,25,0,2200,0,0,-2200,-2200,0,0,-2200,0,-2200,0,-2200,0,-2200,0,-2200,0,-2200
"95","M4",3,"zona interior","7",1250,0,0,0,0,0,1527,0,0,0,0,25,0,0,1527,1527,1527,1527,2,-2288.88,-761.88,-2333.98,-806.98,-2379.52,-852.52,-2288.88,-761.88,-2333.98,-806.98,-2379.52,-852.52
"74","M4",15,"zona interior","7",700,0,1.852,1.852,0,0,0,20,12,24,18,25,0,0,22.224,33.336,22.224,33.336,12,-966.248058441312,-944.024058441312,-1150.56052046713,-1128.33652046713,-1364.91198697332,-1342.68798697332,-966.248058441312,-932.912058441312,-1150.56052046713,-1117.22452046713,-1364.91198697332,-1331.57598697332
"88","M4",25,"zona interior","7",0,14.455,69.71,55.255,0,10.56,0,20,12,24,18,25,736.1376,736.1376,952.16,1341.51,216.0224,605.3724,10,-1150.76005958076,-934.737659580764,-1516.38993126793,-1300.36753126793,-1987.50621914577,-1771.48381914577,-1137.21459358578,-531.842193585783,-1501.45633246066,-896.083932460658,-1971.05774465176,-1365.68534465176
"61","M4",1,"zona interior","11",1250,0,0,0,2200,0,0,0,0,0,0,25,0,2200,0,0,-2200,-2200,0,0,-2200,0,-2200,0,-2200,0,-2200,0,-2200,0,-2200
"91","M4",3,"zona interior","11",1250,0,0,0,0,0,1527,0,0,0,0,25,0,0,1527,1527,1527,1527,2,-2288.88,-761.88,-2333.98,-806.98,-2379.52,-852.52,-2288.88,-761.88,-2333.98,-806.98,-2379.52,-852.52
"75","M4",15,"zona interior","11",700,0,13.87,13.87,0,0,0,20,12,24,18,25,0,0,166.44,249.66,166.44,249.66,12,-966.248058441312,-799.808058441312,-1150.56052046713,-984.12052046713,-1364.91198697332,-1198.47198697332,-966.248058441312,-716.588058441312,-1150.56052046713,-900.90052046713,-1364.91198697332,-1115.25198697332
"89","M4",25,"zona interior","11",0,112.804,193.837,81.033,0,10.56,0,20,12,24,18,25,2046.91872,2046.91872,3228.476,4165.89,1181.55728,2118.97128,10,-974.9615603068,206.595719693199,-1322.57568670444,-141.018406704439,-1774.03130935199,-592.47402935199,-873.516844674837,1245.45443532516,-1210.73496561542,908.23631438458,-1650.84537996109,468.125900038915
"64","M4",1,"zona interior","16",1250,0,0,0,2200,0,0,0,0,0,0,25,0,2200,0,0,-2200,-2200,0,0,-2200,0,-2200,0,-2200,0,-2200,0,-2200,0,-2200
"92","M4",3,"zona interior","16",1250,0,0,0,0,0,1527,0,0,0,0,25,0,0,1527,1527,1527,1527,2,-2288.88,-761.88,-2333.98,-806.98,-2379.52,-852.52,-2288.88,-761.88,-2333.98,-806.98,-2379.52,-852.52
"73","M4",15,"zona interior","16",700,0,52.004,52.004,0,0,0,20,12,24,18,25,0,0,624.048,936.072,624.048,936.072,12,-966.248058441312,-342.200058441312,-1150.56052046713,-526.51252046713,-1364.91198697332,-740.863986973321,-966.248058441312,-30.1760584413123,-1150.56052046713,-214.48852046713,-1364.91198697332,-428.839986973321
"83","M4",25,"zona interior","16",0,321.092,412.587,91.495,0,10.56,0,20,12,24,18,25,4356.91872,4356.91872,7519.78,9353.118,3162.86128,4996.19928,10,-417.13996176184,2745.72131823816,-707.588800185533,2455.27247981447,-1096.65968261908,2066.20159738092,-36.7844468573954,4959.4148331426,-288.254635837063,4707.94464416294,-634.787939861715,4361.41134013829
"67","M4",1,"zona interior","21",1250,0,0,0,2200,0,0,0,0,0,0,25,0,2200,0,0,-2200,-2200,0,0,-2200,0,-2200,0,-2200,0,-2200,0,-2200,0,-2200
"93","M4",3,"zona interior","21",1250,0,0,0,0,0,1527,0,0,0,0,25,0,0,1527,1527,1527,1527,2,-2288.88,-761.88,-2333.98,-806.98,-2379.52,-852.52,-2288.88,-761.88,-2333.98,-806.98,-2379.52,-852.52
"72","M4",15,"zona interior","21",700,18.469,108.939,90.47,0,0,0,20,12,24,18,25,0,0,1455.02,2071.716,1455.02,2071.716,12,-966.248058441312,488.771941558688,-1150.56052046713,304.45947953287,-1364.91198697332,90.1080130266794,-966.248058441312,1105.46794155869,-1150.56052046713,921.15547953287,-1364.91198697332,706.804013026679
"86","M4",25,"zona interior","21",0,659.475,748.665,89.1899999999999,0,10.56,0,20,12,24,18,25,7905.9024,7905.9024,14259.78,17432.82,6353.8776,9526.9176,10,595.810269410044,6949.68786941004,409.168081390811,6763.04568139081,133.38187130809,6487.25947130809,1347.55925224313,10874.4768522431,1237.95593686681,10764.8735368668,1046.24260084009,10573.1602008401
"70","M4",1,"zona interior","26",1250,0,0,0,2200,0,0,0,0,0,0,25,0,2200,0,0,-2200,-2200,0,0,-2200,0,-2200,0,-2200,0,-2200,0,-2200,0,-2200
"94","M4",3,"zona interior","26",1250,0,0,0,0,0,1527,0,0,0,0,25,0,0,1527,1527,1527,1527,2,-2288.88,-761.88,-2333.98,-806.98,-2379.52,-852.52,-2288.88,-761.88,-2333.98,-806.98,-2379.52,-852.52
"71","M4",15,"zona interior","26",700,106.219,210.575,104.356,0,0,0,20,12,24,18,25,0,0,3376.652,4427.664,3376.652,4427.664,12,-966.248058441312,2410.40394155869,-1150.56052046713,2226.09147953287,-1364.91198697332,2011.74001302668,-966.248058441312,3461.41594155869,-1150.56052046713,3277.10347953287,-1364.91198697332,3062.75201302668
"85","M4",25,"zona interior","26",0,1064.305,1152.861,88.556,0,10.56,0,20,12,24,18,25,12174.21216,12174.21216,22348.772,27137.328,10174.55984,14963.11584,10,2938.26895469341,13112.8287946934,2991.68080126261,13166.2406412626,2977.8666570243,13152.4264970243,4219.44671804094,19182.5625580409,4404.15304294984,19367.2688829498,4533.6211634049,19496.7370034049
"106","M8",1,"zona costera","7",1250,0,0,0,2200,0,0,0,0,0,0,35,0,2200,0,0,-2200,-2200,0,0,-2200,0,-2200,0,-2200,0,-2200,0,-2200,0,-2200
"120","M8",3,"zona costera","7",1250,0,0,0,0,0,1527,0,0,0,0,35,0,0,1527,1527,1527,1527,2,-2288.88,-761.88,-2333.98,-806.98,-2379.52,-852.52,-2288.88,-761.88,-2333.98,-806.98,-2379.52,-852.52
"130","M8",35,"zona costera","7",0,48.673,175.296,126.623,0,10.56,0,19.8,12,25.2,18,35,1851.12576,1851.12576,2483.2014,3505.7736,632.07564,1654.64784,32,-1435.79378631001,-803.718146310009,-2078.04028218277,-1445.96464218277,-2990.69024286097,-2358.61460286097,-1435.79378631001,218.854053689991,-2078.04028218277,-423.392442182772,-2990.69024286097,-1336.04240286097
"109","M8",1,"zona costera","11",1250,0,0,0,2200,0,0,0,0,0,0,35,0,2200,0,0,-2200,-2200,0,0,-2200,0,-2200,0,-2200,0,-2200,0,-2200,0,-2200
"116","M8",3,"zona costera","11",1250,0,0,0,0,0,1527,0,0,0,0,35,0,0,1527,1527,1527,1527,2,-2288.88,-761.88,-2333.98,-806.98,-2379.52,-852.52,-2288.88,-761.88,-2333.98,-806.98,-2379.52,-852.52
"123","M8",35,"zona costera","11",0,231.943,410.445,178.502,0,10.56,0,19.8,12,25.2,18,35,4334.2992,4334.2992,6734.4954,9057.9996,2400.1962,4723.7004,32,-1435.79378631001,964.40241368999,-2078.04028218277,322.155917817227,-2990.69024286097,-590.494042860974,-1435.79378631001,3287.90661368999,-2078.04028218277,2645.66011781723,-2990.69024286097,1733.01015713903
"110","M8",1,"zona costera","16",1250,0,0,0,2200,0,0,0,0,0,0,35,0,2200,0,0,-2200,-2200,0,0,-2200,0,-2200,0,-2200,0,-2200,0,-2200,0,-2200
"117","M8",3,"zona costera","16",1250,0,0,0,0,0,1527,0,0,0,0,35,0,0,1527,1527,1527,1527,2,-2288.88,-761.88,-2333.98,-806.98,-2379.52,-852.52,-2288.88,-761.88,-2333.98,-806.98,-2379.52,-852.52
"124","M8",35,"zona costera","16",0,596.539,793.719,197.18,0,10.56,0,19.8,12,25.2,18,35,8381.67264,8381.67264,14177.6322,18582.0228,5795.95956,10200.35016,32,-1435.79378631001,4360.16577368999,-2078.04028218277,3717.91927781723,-2990.69024286097,2805.26931713903,-1435.79378631001,8764.55637368999,-2078.04028218277,8122.30987781723,-2990.69024286097,7209.65991713903
"102","M8",1,"zona costera","21",1250,0,0,0,2200,0,0,0,0,0,0,35,0,2200,0,0,-2200,-2200,0,0,-2200,0,-2200,0,-2200,0,-2200,0,-2200,0,-2200
"118","M8",3,"zona costera","21",1250,0,0,0,0,0,1527,0,0,0,0,35,0,0,1527,1527,1527,1527,2,-2288.88,-761.88,-2333.98,-806.98,-2379.52,-852.52,-2288.88,-761.88,-2333.98,-806.98,-2379.52,-852.52
"126","M8",35,"zona costera","21",0,1058.607,1256.041,197.434,0,10.56,0,19.8,12,25.2,18,35,13263.79296,13263.79296,23329.6266,30230.7084,10065.83364,16966.91544,32,-1435.79378631001,8630.03985368999,-2078.04028218277,7987.79335781723,-2990.69024286097,7075.14339713903,-1435.79378631001,15531.12165369,-2078.04028218277,14888.8751578172,-2990.69024286097,13976.225197139
"104","M8",1,"zona costera","26",1250,0,0,0,2200,0,0,0,0,0,0,35,0,2200,0,0,-2200,-2200,0,0,-2200,0,-2200,0,-2200,0,-2200,0,-2200,0,-2200
"119","M8",3,"zona costera","26",1250,0,0,0,0,0,1527,0,0,0,0,35,0,0,1527,1527,1527,1527,2,-2288.88,-761.88,-2333.98,-806.98,-2379.52,-852.52,-2288.88,-761.88,-2333.98,-806.98,-2379.52,-852.52
"128","M8",35,"zona costera","26",0,1591.183,1783.542,192.359,0,10.56,0,19.8,12,25.2,18,35,18834.20352,18834.20352,33813.7314,43560.2736,14979.52788,24726.07008,32,-1435.79378631001,13543.73409369,-2078.04028218277,12901.4875978172,-2990.69024286097,11988.837637139,-1435.79378631001,23290.27629369,-2078.04028218277,22648.0297978172,-2990.69024286097,21735.379837139
"108","M8",1,"zona interior","7",1250,0,0,0,2200,0,0,0,0,0,0,35,0,2200,0,0,-2200,-2200,0,0,-2200,0,-2200,0,-2200,0,-2200,0,-2200,0,-2200
"115","M8",3,"zona interior","7",1250,0,0,0,0,0,1527,0,0,0,0,35,0,0,1527,1527,1527,1527,2,-2288.88,-761.88,-2333.98,-806.98,-2379.52,-852.52,-2288.88,-761.88,-2333.98,-806.98,-2379.52,-852.52
"122","M8",35,"zona interior","7",0,52.177,176.658,124.481,0,10.56,0,19.8,12,25.2,18,35,1865.50848,1865.50848,2526.8766,3555.5184,661.36812,1690.00992,32,-1435.79378631001,-774.425666310009,-2078.04028218277,-1416.67216218277,-2990.69024286097,-2329.32212286097,-1435.79378631001,254.216133689991,-2078.04028218277,-388.030362182772,-2990.69024286097,-1300.68032286097
"101","M8",1,"zona interior","11",1250,0,0,0,2200,0,0,0,0,0,0,35,0,2200,0,0,-2200,-2200,0,0,-2200,0,-2200,0,-2200,0,-2200,0,-2200,0,-2200
"111","M8",3,"zona interior","11",1250,0,0,0,0,0,1527,0,0,0,0,35,0,0,1527,1527,1527,1527,2,-2288.88,-761.88,-2333.98,-806.98,-2379.52,-852.52,-2288.88,-761.88,-2333.98,-806.98,-2379.52,-852.52
"125","M8",35,"zona interior","11",0,253.771,431.877,178.106,0,10.56,0,19.8,12,25.2,18,35,4560.62112,4560.62112,7161.9378,9600.9372,2601.31668,5040.31608,32,-1435.79378631001,1165.52289368999,-2078.04028218277,523.276397817227,-2990.69024286097,-389.373562860974,-1435.79378631001,3604.52229368999,-2078.04028218277,2962.27579781723,-2990.69024286097,2049.62583713903
"103","M8",1,"zona interior","16",1250,0,0,0,2200,0,0,0,0,0,0,35,0,2200,0,0,-2200,-2200,0,0,-2200,0,-2200,0,-2200,0,-2200,0,-2200,0,-2200
"112","M8",3,"zona interior","16",1250,0,0,0,0,0,1527,0,0,0,0,35,0,0,1527,1527,1527,1527,2,-2288.88,-761.88,-2333.98,-806.98,-2379.52,-852.52,-2288.88,-761.88,-2333.98,-806.98,-2379.52,-852.52
"127","M8",35,"zona interior","16",0,679.527,881.461,201.934,0,10.56,0,19.8,12,25.2,18,35,9308.22816,9308.22816,15877.8426,20758.8924,6569.61444,11450.66424,32,-1435.79378631001,5133.82065368999,-2078.04028218277,4491.57415781723,-2990.69024286097,3578.92419713903,-1435.79378631001,10014.87045369,-2078.04028218277,9372.62395781723,-2990.69024286097,8459.97399713903
"105","M8",1,"zona interior","21",1250,0,0,0,2200,0,0,0,0,0,0,35,0,2200,0,0,-2200,-2200,0,0,-2200,0,-2200,0,-2200,0,-2200,0,-2200,0,-2200
"113","M8",3,"zona interior","21",1250,0,0,0,0,0,1527,0,0,0,0,35,0,0,1527,1527,1527,1527,2,-2288.88,-761.88,-2333.98,-806.98,-2379.52,-852.52,-2288.88,-761.88,-2333.98,-806.98,-2379.52,-852.52
"129","M8",35,"zona interior","21",0,1250.335,1458.085,207.75,0,10.56,0,19.8,12,25.2,18,35,15397.3776,15397.3776,27249.633,35247.942,11852.2554,19850.5644,32,-1435.79378631001,10416.46161369,-2078.04028218277,9774.21511781723,-2990.69024286097,8861.56515713903,-1435.79378631001,18414.77061369,-2078.04028218277,17772.5241178172,-2990.69024286097,16859.874157139
"107","M8",1,"zona interior","26",1250,0,0,0,2200,0,0,0,0,0,0,35,0,2200,0,0,-2200,-2200,0,0,-2200,0,-2200,0,-2200,0,-2200,0,-2200,0,-2200
"114","M8",3,"zona interior","26",1250,0,0,0,0,0,1527,0,0,0,0,35,0,0,1527,1527,1527,1527,2,-2288.88,-761.88,-2333.98,-806.98,-2379.52,-852.52,-2288.88,-761.88,-2333.98,-806.98,-2379.52,-852.52
"121","M8",35,"zona interior","26",0,1947.04,2156.127,209.087,0,10.56,0,19.8,12,25.2,18,35,22768.70112,22768.70112,41060.436,52828.974,18291.73488,30060.27288,32,-1435.79378631001,16855.94109369,-2078.04028218277,16213.6945978172,-2990.69024286097,15301.044637139,-1435.79378631001,28624.47909369,-2078.04028218277,27982.2325978172,-2990.69024286097,27069.582637139
"138","MG2",1,"zona costera","7",1250,0,0,0,2200,0,0,0,0,0,0,35,0,2200,0,0,-2200,-2200,0,0,-2200,0,-2200,0,-2200,0,-2200,0,-2200,0,-2200
"170","MG2",3,"zona costera","7",1250,0,0,0,0,0,1527,0,0,0,0,35,0,0,1527,1527,1527,1527,2,-2288.88,-761.88,-2333.98,-806.98,-2379.52,-852.52,-2288.88,-761.88,-2333.98,-806.98,-2379.52,-852.52
"149","MG2",17,"zona costera","7",1000,0,0.902,0.902,0,10.56,0,20,12,24,18,35,9.52512,9.52512,10.824,16.236,1.29888,6.71088,14,-1005.28448000234,-1003.98560000234,-1220.62965616358,-1219.33077616358,-1476.28880511034,-1474.98992511034,-1005.28448000234,-998.573600002341,-1220.62965616358,-1213.91877616358,-1476.28880511034,-1469.57792511034
"160","MG2",25,"zona costera","7",450,0,30.254,30.254,0,10.56,0,30.24,12,39.92,18,35,319.48224,319.48224,363.048,544.572,43.56576,225.08976,8,-1176.32914663393,-1132.76338663393,-1544.61174655916,-1501.04598655916,-2018.62556116561,-1975.05980116561,-1169.98812606395,-944.898366063947,-1537.75598687869,-1312.66622687869,-2011.21886546482,-1786.12910546482
"180","MG2",35,"zona costera","7",0,65.614,109.042,43.428,0,10.56,0,53.02,12,68.53,18,35,1151.48352,1151.48352,3999.99028,5278.23142,2848.50676,4126.7479,10,-1380.83224748113,1467.67451251887,-2017.28028748561,831.226472514386,-2923.57098304735,-75.0642230473536,-1151.82583569412,2974.92206430588,-1764.11364291412,2362.63425708588,-2643.90740049061,1482.84049950939
"136","MG2",1,"zona costera","11",1250,0,0,0,2200,0,0,0,0,0,0,35,0,2200,0,0,-2200,-2200,0,0,-2200,0,-2200,0,-2200,0,-2200,0,-2200,0,-2200
"166","MG2",3,"zona costera","11",1250,0,0,0,0,0,1527,0,0,0,0,35,0,0,1527,1527,1527,1527,2,-2288.88,-761.88,-2333.98,-806.98,-2379.52,-852.52,-2288.88,-761.88,-2333.98,-806.98,-2379.52,-852.52
"148","MG2",17,"zona costera","11",1000,0,7.069,7.069,0,10.56,0,20,12,24,18,35,74.64864,74.64864,84.828,127.242,10.17936,52.59336,14,-1005.28448000234,-995.105120002341,-1220.62965616358,-1210.45029616358,-1476.28880511034,-1466.10944511034,-1005.28448000234,-952.691120002341,-1220.62965616358,-1168.03629616358,-1476.28880511034,-1423.69544511034
"155","MG2",25,"zona costera","11",450,11.995,80.814,68.819,0,10.56,0,30.24,12,39.92,18,35,853.39584,853.39584,1188.5568,1717.5824,335.16096,864.18656,8,-1165.92424893413,-830.763288934129,-1533.3622201868,-1198.2012601868,-2006.47201108487,-1671.31105108487,-1116.2294879483,-252.042927948299,-1479.63343395483,-615.446873954826,-1948.42552338098,-1084.23896338098
"178","MG2",35,"zona costera","11",0,215.021,261.294,46.273,0,10.56,0,53.02,12,68.53,18,35,2759.26464,2759.26464,11955.68942,15568.30313,9196.42478,12809.03849,10,-1012.6958135472,8183.72896645281,-1610.28229931581,7586.14248068419,-2473.94863168924,6722.47614831076,-307.238922768117,12501.7995672319,-827.109134524028,11981.929355476,-1604.93852903048,11204.0999609695
"139","MG2",1,"zona costera","16",1250,0,0,0,2200,0,0,0,0,0,0,35,0,2200,0,0,-2200,-2200,0,0,-2200,0,-2200,0,-2200,0,-2200,0,-2200,0,-2200
"167","MG2",3,"zona costera","16",1250,0,0,0,0,0,1527,0,0,0,0,35,0,0,1527,1527,1527,1527,2,-2288.88,-761.88,-2333.98,-806.98,-2379.52,-852.52,-2288.88,-761.88,-2333.98,-806.98,-2379.52,-852.52
"150","MG2",17,"zona costera","16",1000,0,25.517,25.517,0,10.56,0,20,12,24,18,35,269.45952,269.45952,306.204,459.306,36.74448,189.84648,14,-1005.28448000234,-968.540000002341,-1220.62965616358,-1183.88517616358,-1476.28880511034,-1439.54432511034,-1005.28448000234,-815.438000002341,-1220.62965616358,-1030.78317616358,-1476.28880511034,-1286.44232511034
"157","MG2",25,"zona costera","16",450,90.188,179.893,89.705,0,10.56,0,30.24,12,39.92,18,35,1899.67008,1899.67008,3803.74512,5214.99496,1904.07504,3315.32488,8,-1134.79897687868,769.276063121323,-1499.71032096233,404.364719037672,-1970.11581003256,-66.0407700325632,-955.415582328469,2359.90929767153,-1305.76528796172,2009.55959203828,-1760.58515127742,1554.73972872258
"171","MG2",35,"zona costera","16",0,436.698,483.235,46.537,0,10.56,0,53.02,12,68.53,18,35,5102.9616,5102.9616,23712.17196,30764.57994,18609.21036,25661.61834,10,937.743228380427,19546.9535883804,543.432369143612,19152.6427291436,-97.7564724123083,18511.4538875877,2876.71626555534,28538.3346055553,2700.68005100833,28362.2983910083,2301.3945979771,27963.0129379771
"132","MG2",1,"zona costera","21",1250,0,0,0,2200,0,0,0,0,0,0,35,0,2200,0,0,-2200,-2200,0,0,-2200,0,-2200,0,-2200,0,-2200,0,-2200,0,-2200
"168","MG2",3,"zona costera","21",1250,0,0,0,0,0,1527,0,0,0,0,35,0,0,1527,1527,1527,1527,2,-2288.88,-761.88,-2333.98,-806.98,-2379.52,-852.52,-2288.88,-761.88,-2333.98,-806.98,-2379.52,-852.52
"145","MG2",17,"zona costera","21",1000,7.705,51.53,43.825,0,10.56,0,20,12,24,18,35,544.1568,544.1568,680,973.77,135.8432,429.6132,14,-1005.28448000234,-869.441280002341,-1220.62965616358,-1084.78645616358,-1476.28880511034,-1340.44560511034,-1005.28448000234,-575.671280002341,-1220.62965616358,-791.016456163578,-1476.28880511034,-1046.67560511034
"158","MG2",25,"zona costera","21",450,215.99,312.127,96.137,0,10.56,0,30.24,12,39.92,18,35,3296.06112,3296.06112,7685.1816,10352.7868,4389.12048,7056.72568,8,-1018.68903194536,3370.43144805464,-1374.17502736252,3014.94545263748,-1834.49236890579,2554.62811109422,-674.490655588325,6382.23502441168,-1002.03598055328,6054.68969944672,-1432.44783896823,5624.27784103177
"174","MG2",35,"zona costera","21",0,730.716,775.584,44.8679999999999,0,10.56,0,53.02,12,68.53,18,35,8190.16704,8190.16704,39280.97832,50883.59148,31090.81128,42693.42444,10,4108.53712815346,35199.3484081535,4051.83457662859,35142.6458566286,3781.47366153896,34872.284941539,7779.90888185294,50473.3333218529,8136.99665893259,50830.4210989326,8325.30513098017,51018.7295709802
"135","MG2",1,"zona costera","26",1250,0,0,0,2200,0,0,0,0,0,0,35,0,2200,0,0,-2200,-2200,0,0,-2200,0,-2200,0,-2200,0,-2200,0,-2200,0,-2200
"169","MG2",3,"zona costera","26",1250,0,0,0,0,0,1527,0,0,0,0,35,0,0,1527,1527,1527,1527,2,-2288.88,-761.88,-2333.98,-806.98,-2379.52,-852.52,-2288.88,-761.88,-2333.98,-806.98,-2379.52,-852.52
"147","MG2",17,"zona costera","26",1000,36.405,90.373,53.968,0,10.56,0,20,12,24,18,35,954.33888,954.33888,1375.716,1845.144,421.37712,890.80512,14,-1005.28448000234,-583.907360002342,-1220.62965616358,-799.252536163578,-1476.28880511034,-1054.91168511034,-1005.28448000234,-114.479360002341,-1220.62965616358,-329.824536163578,-1476.28880511034,-585.483685110343
"159","MG2",25,"zona costera","26",450,397.742,491.689,93.947,0,10.56,0,30.24,12,39.92,18,35,5192.23584,5192.23584,13155.08208,17568.90664,7962.84624,12376.6708,8,-684.140535983011,7278.70570401699,-1012.4692002852,6950.3770397148,-1443.71948315289,6519.12675684711,-134.130816077879,12242.5399839221,-417.811854519569,11958.8589454804,-801.274850959243,11575.3959490408
"177","MG2",35,"zona costera","26",0,1037.528,1081.889,44.3609999999999,0,10.56,0,53.02,12,68.53,18,35,11424.74784,11424.74784,55542.06656,71900.29184,44117.31872,60475.544,10,8872.70163798072,52990.0203579807,9340.72554629004,53458.04426629,9649.9001244812,53767.2188444812,14923.5879269638,75399.1319269637,16071.7064150971,76547.2504150971,17134.4136992345,77609.9576992345
"133","MG2",1,"zona interior","7",1250,0,0,0,2200,0,0,0,0,0,0,35,0,2200,0,0,-2200,-2200,0,0,-2200,0,-2200,0,-2200,0,-2200,0,-2200,0,-2200
"165","MG2",3,"zona interior","7",1250,0,0,0,0,0,1527,0,0,0,0,35,0,0,1527,1527,1527,1527,2,-2288.88,-761.88,-2333.98,-806.98,-2379.52,-852.52,-2288.88,-761.88,-2333.98,-806.98,-2379.52,-852.52
"146","MG2",17,"zona interior","7",1000,0,0.868,0.868,0,10.56,0,20,12,24,18,35,9.16608,9.16608,10.416,15.624,1.24992,6.45792,14,-1005.28448000234,-1004.03456000234,-1220.62965616358,-1219.37973616358,-1476.28880511034,-1475.03888511034,-1005.28448000234,-998.826560002341,-1220.62965616358,-1214.17173616358,-1476.28880511034,-1469.83088511034
"153","MG2",25,"zona interior","7",450,0,28.785,28.785,0,10.56,0,30.24,12,39.92,18,35,303.9696,303.9696,345.42,518.13,41.4504,214.1604,8,-1176.38651107723,-1134.93611107723,-1544.67376762235,-1503.22336762235,-2018.69256630632,-1977.24216630632,-1170.28450902097,-956.124109020966,-1538.07642903848,-1323.91602903848,-2011.56505869181,-1797.40465869181
"175","MG2",35,"zona interior","7",0,67.455,109.484,42.029,0,10.56,0,53.02,12,68.53,18,35,1156.15104,1156.15104,4080.8121,5379.21315,2924.66106,4223.06211,10,-1383.48078645369,1541.18027354631,-2020.2065055605,904.454554439498,-2926.80141657449,-2.14035657449131,-1165.50995371902,3057.55215628098,-1779.23243630104,2443.82967369896,-2660.59797371415,1562.46413628585
"131","MG2",1,"zona interior","11",1250,0,0,0,2200,0,0,0,0,0,0,35,0,2200,0,0,-2200,-2200,0,0,-2200,0,-2200,0,-2200,0,-2200,0,-2200,0,-2200
"161","MG2",3,"zona interior","11",1250,0,0,0,0,0,1527,0,0,0,0,35,0,0,1527,1527,1527,1527,2,-2288.88,-761.88,-2333.98,-806.98,-2379.52,-852.52,-2288.88,-761.88,-2333.98,-806.98,-2379.52,-852.52
"141","MG2",17,"zona interior","11",1000,0,6.488,6.488,0,10.56,0,20,12,24,18,35,68.51328,68.51328,77.856,116.784,9.34272,48.27072,14,-1005.28448000234,-995.941760002341,-1220.62965616358,-1211.28693616358,-1476.28880511034,-1466.94608511034,-1005.28448000234,-957.013760002341,-1220.62965616358,-1172.35893616358,-1476.28880511034,-1428.01808511034
"152","MG2",25,"zona interior","11",450,12.019,81.37,69.351,0,10.56,0,30.24,12,39.92,18,35,859.2672,859.2672,1195.66656,1728.11648,336.39936,868.84928,8,-1166.90450603865,-830.50514603865,-1534.42205070769,-1198.02269070769,-2007.6170106952,-1671.2176506952,-1121.29414965499,-252.444869654994,-1485.10922497944,-616.259944979435,-1954.34135470102,-1085.49207470102
