"","RegimenClara","Edad","Zona","Calidad","N","Vol.comercial20","Vol.comercial7","Vol.comercial7a20","costes.fijos","costes.variables","ing.fijos","E1_VCC20","E1_VCC7","E3_VCC20","E3_VCC7","turno","costes.var.tot","costes.tot","ingresos.Esc.1","ingresos.Esc.2","renta.Esc.1","renta.Esc.2","tiempo"
"44","M2",30,"zona interior","11",300,54.072,108.698,54.626,0,10.56,0,30.72,12,40.12,18,40,1147.85088,1147.85088,2316.60384,3152.63664,1168.75296,2004.78576,8
"54","M2",40,"zona interior","11",0,246.758,271.774,25.016,0,10.56,0,44.5,12,57.75,18,40,2869.93344,2869.93344,11280.923,14700.5625,8410.98956,11830.62906,10
"6","M2",1,"zona interior","16",1250,0,0,0,2200,0,0,0,0,0,0,40,0,2200,0,0,-2200,-2200,0
"32","M2",3,"zona interior","16",1250,0,0,0,0,0,1527,0,0,0,0,40,0,0,1527,1527,1527,1527,2
"19","M2",14,"zona interior","16",1000,0,12.668,12.668,0,10.56,0,20,12,24,18,40,133.77408,133.77408,152.016,228.024,18.24192,94.24992,11
"29","M2",22,"zona interior","16",700,10.595,61.264,50.669,0,10.56,0,20,12,24,18,40,646.94784,646.94784,819.928,1166.322,172.98016,519.37416,8
"45","M2",30,"zona interior","16",300,179.214,239.833,60.619,0,10.56,0,30.72,12,40.12,18,40,2532.63648,2532.63648,6232.88208,8281.20768,3700.2456,5748.5712,8
"59","M2",40,"zona interior","16",0,509.386,534.93,25.5439999999999,0,10.56,0,44.5,12,57.75,18,40,5648.8608,5648.8608,22974.205,29876.8335,17325.3442,24227.9727,10
"10","M2",1,"zona interior","21",1250,0,0,0,2200,0,0,0,0,0,0,40,0,2200,0,0,-2200,-2200,0
"33","M2",3,"zona interior","21",1250,0,0,0,0,0,1527,0,0,0,0,40,0,0,1527,1527,1527,1527,2
"12","M2",14,"zona interior","21",1000,0,31.611,31.611,0,10.56,0,20,12,24,18,40,333.81216,333.81216,379.332,568.998,45.51984,235.18584,11
"26","M2",22,"zona interior","21",700,62.98,122.773,59.793,0,10.56,0,20,12,24,18,40,1296.48288,1296.48288,1977.116,2587.794,680.63312,1291.31112,8
"41","M2",30,"zona interior","21",300,348.786,410.002,61.216,0,10.56,0,30.72,12,40.12,18,40,4329.62112,4329.62112,11449.29792,15095.18232,7119.6768,10765.5612,8
"52","M2",40,"zona interior","21",0,822.376,848.894,26.518,0,10.56,0,44.5,12,57.75,18,40,8964.32064,8964.32064,36913.948,47969.538,27949.62736,39005.21736,10
"3","M2",1,"zona interior","26",1250,0,0,0,2200,0,0,0,0,0,0,40,0,2200,0,0,-2200,-2200,0
"34","M2",3,"zona interior","26",1250,0,0,0,0,0,1527,0,0,0,0,40,0,0,1527,1527,1527,1527,2
"11","M2",14,"zona interior","26",1000,10.981,60.103,49.122,0,10.56,0,20,12,24,18,40,634.68768,634.68768,809.084,1147.74,174.39632,513.05232,11
"21","M2",22,"zona interior","26",700,135.643,198.765,63.122,0,10.56,0,20,12,24,18,40,2098.9584,2098.9584,3470.324,4391.628,1371.3656,2292.6696,8
"43","M2",30,"zona interior","26",300,553.283,613.637,60.3539999999999,0,10.56,0,30.72,12,40.12,18,40,6480.00672,6480.00672,17721.10176,23284.08596,11241.09504,16804.07924,8
"56","M2",40,"zona interior","26",0,1191.609,1219.186,27.577,0,10.56,0,44.5,12,57.75,18,40,12874.60416,12874.60416,53357.5245,69311.80575,40482.92034,56437.20159,10
"62","M4",1,"zona costera","7",1250,0,0,0,2200,0,0,0,0,0,0,25,0,2200,0,0,-2200,-2200,0
"100","M4",3,"zona costera","7",1250,0,0,0,0,0,1527,0,0,0,0,25,0,0,1527,1527,1527,1527,2
"76","M4",15,"zona costera","7",700,0,2.415,2.415,0,0,0,20,12,24,18,25,0,0,28.98,43.47,28.98,43.47,12
"90","M4",25,"zona costera","7",0,15.094,71.024,55.93,0,10.56,0,20,12,24,18,25,750.01344,750.01344,973.04,1368.996,223.02656,618.98256,10
"63","M4",1,"zona costera","11",1250,0,0,0,2200,0,0,0,0,0,0,25,0,2200,0,0,-2200,-2200,0
"96","M4",3,"zona costera","11",1250,0,0,0,0,0,1527,0,0,0,0,25,0,0,1527,1527,1527,1527,2
"77","M4",15,"zona costera","11",700,0,14.78,14.78,0,0,0,20,12,24,18,25,0,0,177.36,266.04,177.36,266.04,12
"82","M4",25,"zona costera","11",0,117.56,196.992,79.432,0,10.56,0,20,12,24,18,25,2080.23552,2080.23552,3304.384,4251.216,1224.14848,2170.98048,10
"66","M4",1,"zona costera","16",1250,0,0,0,2200,0,0,0,0,0,0,25,0,2200,0,0,-2200,-2200,0
"97","M4",3,"zona costera","16",1250,0,0,0,0,0,1527,0,0,0,0,25,0,0,1527,1527,1527,1527,2
"80","M4",15,"zona costera","16",700,0.795,56.324,55.529,0,0,0,20,12,24,18,25,0,0,682.248,1018.602,682.248,1018.602,12
"81","M4",25,"zona costera","16",0,313.566,402.004,88.438,0,10.56,0,20,12,24,18,25,4245.16224,4245.16224,7332.576,9117.468,3087.41376,4872.30576,10
"65","M4",1,"zona costera","21",1250,0,0,0,2200,0,0,0,0,0,0,25,0,2200,0,0,-2200,-2200,0
"98","M4",3,"zona costera","21",1250,0,0,0,0,0,1527,0,0,0,0,25,0,0,1527,1527,1527,1527,2
"79","M4",15,"zona costera","21",700,23.038,117.827,94.789,0,0,0,20,12,24,18,25,0,0,1598.228,2259.114,1598.228,2259.114,12
"84","M4",25,"zona costera","21",0,625.28,709.408,84.128,0,10.56,0,20,12,24,18,25,7491.34848,7491.34848,13515.136,16521.024,6023.78752,9029.67552,10
"68","M4",1,"zona costera","26",1250,0,0,0,2200,0,0,0,0,0,0,25,0,2200,0,0,-2200,-2200,0
"99","M4",3,"zona costera","26",1250,0,0,0,0,0,1527,0,0,0,0,25,0,0,1527,1527,1527,1527,2
"78","M4",15,"zona costera","26",700,126.548,231.007,104.459,0,0,0,20,12,24,18,25,0,0,3784.468,4917.414,3784.468,4917.414,12
"87","M4",25,"zona costera","26",0,981.459,1063.993,82.534,0,10.56,0,20,12,24,18,25,11235.76608,11235.76608,20619.588,25040.628,9383.82192,13804.86192,10
"69","M4",1,"zona interior","7",1250,0,0,0,2200,0,0,0,0,0,0,25,0,2200,0,0,-2200,-2200,0
"95","M4",3,"zona interior","7",1250,0,0,0,0,0,1527,0,0,0,0,25,0,0,1527,1527,1527,1527,2
"74","M4",15,"zona interior","7",700,0,1.852,1.852,0,0,0,20,12,24,18,25,0,0,22.224,33.336,22.224,33.336,12
"88","M4",25,"zona interior","7",0,14.455,69.71,55.255,0,10.56,0,20,12,24,18,25,736.1376,736.1376,952.16,1341.51,216.0224,605.3724,10
"61","M4",1,"zona interior","11",1250,0,0,0,2200,0,0,0,0,0,0,25,0,2200,0,0,-2200,-2200,0
"91","M4",3,"zona interior","11",1250,0,0,0,0,0,1527,0,0,0,0,25,0,0,1527,1527,1527,1527,2
"75","M4",15,"zona interior","11",700,0,13.87,13.87,0,0,0,20,12,24,18,25,0,0,166.44,249.66,166.44,249.66,12
"89","M4",25,"zona interior","11",0,112.804,193.837,81.033,0,10.56,0,20,12,24,18,25,2046.91872,2046.91872,3228.476,4165.89,1181.55728,2118.97128,10
"64","M4",1,"zona interior","16",1250,0,0,0,2200,0,0,0,0,0,0,25,0,2200,0,0,-2200,-2200,0
"92","M4",3,"zona interior","16",1250,0,0,0,0,0,1527,0,0,0,0,25,0,0,1527,1527,1527,1527,2
"73","M4",15,"zona interior","16",700,0,52.004,52.004,0,0,0,20,12,24,18,25,0,0,624.048,936.072,624.048,936.072,12
"83","M4",25,"zona interior","16",0,321.092,412.587,91.495,0,10.56,0,20,12,24,18,25,4356.91872,4356.91872,7519.78,9353.118,3162.86128,4996.19928,10
