"","Edad","RegimenClara","Zona","Calidad","N","Vol.comercial20","Vol.comercial7","variable","Renta"
"68",25,"M4","zona costera","11",0,117.56,196.992,"renta.act.Esc1.Int1",-961.650141240458
"69",1,"M4","zona costera","16",1250,0,0,"renta.act.Esc1.Int1",0
"70",3,"M4","zona costera","16",1250,0,0,"renta.act.Esc1.Int1",-2288.88
"71",15,"M4","zona costera","16",700,0.795,56.324,"renta.act.Esc1.Int1",-966.248058441312
"72",25,"M4","zona costera","16",0,313.566,402.004,"renta.act.Esc1.Int1",-346.194486518145
"73",1,"M4","zona costera","21",1250,0,0,"renta.act.Esc1.Int1",0
"74",3,"M4","zona costera","21",1250,0,0,"renta.act.Esc1.Int1",-2288.88
"75",15,"M4","zona costera","21",700,23.038,117.827,"renta.act.Esc1.Int1",-966.248058441312
"76",25,"M4","zona costera","21",0,625.28,709.408,"renta.act.Esc1.Int1",770.380022308653
"77",1,"M4","zona costera","26",1250,0,0,"renta.act.Esc1.Int1",0
"78",3,"M4","zona costera","26",1250,0,0,"renta.act.Esc1.Int1",-2288.88
"79",15,"M4","zona costera","26",700,126.548,231.007,"renta.act.Esc1.Int1",-966.248058441312
"80",25,"M4","zona costera","26",0,981.459,1063.993,"renta.act.Esc1.Int1",3435.39438307799
"81",1,"M4","zona interior","7",1250,0,0,"renta.act.Esc1.Int1",0
"82",3,"M4","zona interior","7",1250,0,0,"renta.act.Esc1.Int1",-2288.88
"83",15,"M4","zona interior","7",700,0,1.852,"renta.act.Esc1.Int1",-966.248058441312
"84",25,"M4","zona interior","7",0,14.455,69.71,"renta.act.Esc1.Int1",-1150.76005958076
"85",1,"M4","zona interior","11",1250,0,0,"renta.act.Esc1.Int1",0
"86",3,"M4","zona interior","11",1250,0,0,"renta.act.Esc1.Int1",-2288.88
"87",15,"M4","zona interior","11",700,0,13.87,"renta.act.Esc1.Int1",-966.248058441312
"88",25,"M4","zona interior","11",0,112.804,193.837,"renta.act.Esc1.Int1",-974.9615603068
"89",1,"M4","zona interior","16",1250,0,0,"renta.act.Esc1.Int1",0
"90",3,"M4","zona interior","16",1250,0,0,"renta.act.Esc1.Int1",-2288.88
"91",15,"M4","zona interior","16",700,0,52.004,"renta.act.Esc1.Int1",-966.248058441312
"92",25,"M4","zona interior","16",0,321.092,412.587,"renta.act.Esc1.Int1",-417.13996176184
"93",1,"M4","zona interior","21",1250,0,0,"renta.act.Esc1.Int1",0
"94",3,"M4","zona interior","21",1250,0,0,"renta.act.Esc1.Int1",-2288.88
"95",15,"M4","zona interior","21",700,18.469,108.939,"renta.act.Esc1.Int1",-966.248058441312
"96",25,"M4","zona interior","21",0,659.475,748.665,"renta.act.Esc1.Int1",595.810269410044
"97",1,"M4","zona interior","26",1250,0,0,"renta.act.Esc1.Int1",0
"98",3,"M4","zona interior","26",1250,0,0,"renta.act.Esc1.Int1",-2288.88
"99",15,"M4","zona interior","26",700,106.219,210.575,"renta.act.Esc1.Int1",-966.248058441312
"100",25,"M4","zona interior","26",0,1064.305,1152.861,"renta.act.Esc1.Int1",2938.26895469341
"101",1,"M8","zona costera","7",1250,0,0,"renta.act.Esc1.Int1",0
