Edad	Altura.dominante	thinning	varname	zone	cal
1	0.354966752415702	M8	Hdom	1	16
2	0.975587616647082	M8	Hdom	1	16
3	1.74001683915254	M8	Hdom	1	16
4	2.59587347683179	M8	Hdom	1	16
5	3.50906750892517	M8	Hdom	1	16
6	4.45506802938576	M8	Hdom	1	16
7	5.41557402954531	M8	Hdom	1	16
8	6.37678605556106	M8	Hdom	1	16
9	7.3283245492722	M8	Hdom	1	16
10	8.26247047989314	M8	Hdom	1	16
11	9.17359528345207	M8	Hdom	1	16
12	10.0577168839322	M8	Hdom	1	16
13	10.9121473496482	M8	Hdom	1	16
14	11.7352108879865	M8	Hdom	1	16
15	12.5260175321173	M8	Hdom	1	16
16	13.2842816309529	M8	Hdom	1	16
17	14.0101766351109	M8	Hdom	1	16
18	14.7042193439936	M8	Hdom	1	16
19	15.3671780469333	M8	Hdom	1	16
20	16	M8	Hdom	1	16
21	16.6037545035498	M8	Hdom	1	16
22	17.1795885255998	M8	Hdom	1	16
23	17.7286923794016	M8	Hdom	1	16
24	18.2522734296047	M8	Hdom	1	16
25	18.7515361857049	M8	Hdom	1	16
26	19.2276674571234	M8	Hdom	1	16
27	19.681825502461	M8	Hdom	1	16
28	20.115132315852	M8	Hdom	1	16
29	20.5286683641548	M8	Hdom	1	16
30	20.9234692269561	M8	Hdom	1	16
31	21.3005237029392	M8	Hdom	1	16
32	21.6607730359799	M8	Hdom	1	16
33	22.0051109864805	M8	Hdom	1	16
34	22.3343845312797	M8	Hdom	1	16
35	22.6493950217441	M8	Hdom	1	16
35	0	M8	Hdom	1	16
