Edad	Dq	thinning	varname	zone	cal
1	0.0144664998692798	M8	Dq	1	16
2	0.576755417227221	M8	Dq	1	16
3	2.12880399138057	M8	Dq	1	16
4	4.1933458409596	M8	Dq	1	16
5	6.3698971733194	M8	Dq	1	16
6	8.46909241095451	M8	Dq	1	16
7	10.4183817032848	M8	Dq	1	16
8	12.1987914915794	M8	Dq	1	16
9	13.8142249242213	M8	Dq	1	16
10	15.277465027124	M8	Dq	1	16
11	16.6039223161287	M8	Dq	1	16
12	17.8089208458138	M8	Dq	1	16
13	18.9066043201998	M8	Dq	1	16
14	19.9095816552038	M8	Dq	1	16
15	20.8289024833202	M8	Dq	1	16
16	21.6741704878879	M8	Dq	1	16
17	22.4537046434414	M8	Dq	1	16
18	23.1747071882856	M8	Dq	1	16
19	23.843420586225	M8	Dq	1	16
20	24.4652669529473	M8	Dq	1	16
21	25.0449686763744	M8	Dq	1	16
22	25.5866512858584	M8	Dq	1	16
23	26.0939305209706	M8	Dq	1	16
24	26.5699857637693	M8	Dq	1	16
25	27.0176219022372	M8	Dq	1	16
26	27.4393214724532	M8	Dq	1	16
27	27.8372886730604	M8	Dq	1	16
28	28.213486599366	M8	Dq	1	16
29	28.5696688232067	M8	Dq	1	16
30	28.9074062537698	M8	Dq	1	16
31	29.2281100534366	M8	Dq	1	16
32	29.5330512485694	M8	Dq	1	16
33	29.8233775643445	M8	Dq	1	16
34	30.1001279215852	M8	Dq	1	16
35	30.3642449587312	M8	Dq	1	16
35	0	M8	Dq	1	16
