Edad	Area_basimetrica_m2_ha	thinning	varname	zone	cal
1	0.0158545166982305	M8	AB	1	26
2	1.27656096517724	M8	AB	1	26
3	6.04431640147442	M8	AB	1	26
4	13.549486061209	M8	AB	1	26
5	22.2906443650365	M8	AB	1	26
6	31.2909752294337	M8	AB	1	26
7	40.0442040098654	M8	AB	1	26
8	48.3195846550679	M8	AB	1	26
9	56.0316295223123	M8	AB	1	26
10	63.1679675889505	M8	AB	1	26
11	69.7513084570971	M8	AB	1	26
12	75.8197018043036	M8	AB	1	26
13	81.4164097440789	M8	AB	1	26
14	86.5848247782076	M8	AB	1	26
15	91.366043118013	M8	AB	1	26
16	95.7978338389589	M8	AB	1	26
17	99.9143338292092	M8	AB	1	26
18	103.746109367192	M8	AB	1	26
19	107.320391263627	M8	AB	1	26
20	110.66138031115	M8	AB	1	26
21	113.790568777937	M8	AB	1	26
22	116.727050530499	M8	AB	1	26
23	119.487807059389	M8	AB	1	26
24	122.087964631595	M8	AB	1	26
25	124.541021989332	M8	AB	1	26
26	126.85905011859	M8	AB	1	26
27	129.05286655591	M8	AB	1	26
28	131.132187015826	M8	AB	1	26
29	133.10575710289	M8	AB	1	26
30	134.981466689554	M8	AB	1	26
31	136.766449288298	M8	AB	1	26
32	138.467168474612	M8	AB	1	26
33	140.089493153452	M8	AB	1	26
34	141.638763218645	M8	AB	1	26
35	143.119846937414	M8	AB	1	26
35	0	M8	AB	1	26
