Edad	Area_basimetrica_m2_ha	thinning	varname	zone	cal
1	2.05459784976481e-05	M8	AB	1	16
2	0.0326575243319725	M8	AB	1	16
3	0.44490905623934	M8	AB	1	16
4	1.72631982475367	M8	AB	1	16
5	3.98349923296468	M8	AB	1	16
6	7.04163707468401	M8	AB	1	16
7	10.6561524267138	M8	AB	1	16
8	14.6094380344964	M8	AB	1	16
9	18.7349673364753	M8	AB	1	16
10	22.9140834711846	M8	AB	1	16
11	27.0658256551188	M8	AB	1	16
12	31.136880625086	M8	AB	1	16
13	35.093522699508	M8	AB	1	16
14	38.9156387857554	M8	AB	1	16
15	42.592454465226	M8	AB	1	16
16	46.1195291452151	M8	AB	1	16
17	49.4966613214731	M8	AB	1	16
18	52.7264346567328	M8	AB	1	16
19	55.8132116225105	M8	AB	1	16
20	58.7624388468349	M8	AB	1	16
21	61.5801695166329	M8	AB	1	16
22	64.2727370834503	M8	AB	1	16
23	66.8465345787377	M8	AB	1	16
24	69.3078677148833	M8	AB	1	16
25	71.6628595411006	M8	AB	1	16
26	73.9173910736138	M8	AB	1	16
27	76.0770669462363	M8	AB	1	16
28	78.1471983594978	M8	AB	1	16
29	80.1327978740133	M8	AB	1	16
30	82.0385821913726	M8	AB	1	16
31	83.8689801958568	M8	AB	1	16
32	85.6281443324206	M8	AB	1	16
33	87.3199639674298	M8	AB	1	16
34	88.9480797861415	M8	AB	1	16
35	90.5158985720956	M8	AB	1	16
35	0	M8	AB	1	16
