Edad	Dq	thinning	varname	zone	cal
1	0.00102862063694314	M8	Dq	1	11
2	0.134540582809544	M8	Dq	1	11
3	0.756517135054094	M8	Dq	1	11
4	1.85418484923069	M8	Dq	1	11
5	3.22296249968606	M8	Dq	1	11
6	4.69717131396506	M8	Dq	1	11
7	6.17731724931563	M8	Dq	1	11
8	7.61032268711672	M8	Dq	1	11
9	8.97063251812206	M8	Dq	1	11
10	10.248085110491	M8	Dq	1	11
11	11.4408493002585	M8	Dq	1	11
12	12.5514364165828	M8	Dq	1	11
13	13.5844738761276	M8	Dq	1	11
14	14.5454724246432	M8	Dq	1	11
15	15.4401531620707	M8	Dq	1	11
16	16.2740907061911	M8	Dq	1	11
17	17.0525350836048	M8	Dq	1	11
18	17.7803342661811	M8	Dq	1	11
19	18.4619126584771	M8	Dq	1	11
20	19.1012798230826	M8	Dq	1	11
21	19.702054634562	M8	Dq	1	11
22	20.2674963734699	M8	Dq	1	11
23	20.8005379613553	M8	Dq	1	11
24	21.3038186993323	M8	Dq	1	11
25	21.7797151387991	M8	Dq	1	11
26	22.2303694497574	M8	Dq	1	11
27	22.6577150748068	M8	Dq	1	11
28	23.0634996925033	M8	Dq	1	11
29	23.4493056382942	M8	Dq	1	11
30	23.8165679902729	M8	Dq	1	11
31	24.1665905479974	M8	Dq	1	11
32	24.5005599321615	M8	Dq	1	11
33	24.8195580209439	M8	Dq	1	11
34	25.1245729213237	M8	Dq	1	11
35	25.4165086540331	M8	Dq	1	11
35	0	M8	Dq	1	11
