Edad	Area_basimetrica_m2_ha	thinning	varname	zone	cal
1	0.000925447446604835	M8	AB	0	26
2	0.301927399947389	M8	AB	0	26
3	2.34702979279696	M8	AB	0	26
4	6.80565127780418	M8	AB	0	26
5	13.1220399559674	M8	AB	0	26
6	20.5239509073528	M8	AB	0	26
7	28.4141860849131	M8	AB	0	26
8	36.4024283725377	M8	AB	0	26
9	44.2531973950377	M8	AB	0	26
10	51.8331940748699	M8	AB	0	26
11	59.0732647242898	M8	AB	0	26
12	65.943493830275	M8	AB	0	26
13	72.4374788599167	M8	AB	0	26
14	78.5625450476788	M8	AB	0	26
15	84.3336958534449	M8	AB	0	26
16	89.7698915333269	M8	AB	0	26
17	94.8917769185911	M8	AB	0	26
18	99.7203128188906	M8	AB	0	26
19	104.275971893227	M8	AB	0	26
20	108.578287198556	M8	AB	0	26
21	112.645620439212	M8	AB	0	26
22	116.495065999499	M8	AB	0	26
23	120.142437597884	M8	AB	0	26
24	123.602303822615	M8	AB	0	26
25	126.888051154899	M8	AB	0	26
26	130.011960978946	M8	AB	0	26
27	132.985292145989	M8	AB	0	26
28	135.818363921138	M8	AB	0	26
29	138.520636241505	M8	AB	0	26
30	141.100785561682	M8	AB	0	26
31	143.566775421776	M8	AB	0	26
32	145.92592141394	M8	AB	0	26
33	148.18495055662	M8	AB	0	26
34	150.35005528393	M8	AB	0	26
35	152.426942368149	M8	AB	0	26
35	0	M8	AB	0	26
