Edad	Area_basimetrica_m2_ha	thinning	varname	zone	cal
1	1.06659567453464e-06	M8	AB	0	16
2	0.00722928302361347	M8	AB	0	16
3	0.164646105423308	M8	AB	0	16
4	0.834173139638604	M8	AB	0	16
5	2.26906652228941	M8	AB	0	16
6	4.48676366085538	M8	AB	0	16
7	7.36648167883113	M8	AB	0	16
8	10.7461799190635	M8	AB	0	16
9	14.4719176424108	M8	AB	0	16
10	18.4153979118318	M8	AB	0	16
11	22.4764869531953	M8	AB	0	16
12	26.5800067736978	M8	AB	0	16
13	30.6710289801883	M8	AB	0	16
14	34.7103468476556	M8	AB	0	16
15	38.6706640728866	M8	AB	0	16
16	42.5335745874367	M8	AB	0	16
17	46.2872423221937	M8	AB	0	16
18	49.9246485234783	M8	AB	0	16
19	53.4422801474997	M8	AB	0	16
20	56.8391534712171	M8	AB	0	16
21	60.1160894350651	M8	AB	0	16
22	63.2751768607343	M8	AB	0	16
23	66.319375491771	M8	AB	0	16
24	69.25222300634	M8	AB	0	16
25	72.0776193628877	M8	AB	0	16
26	74.7996687101868	M8	AB	0	16
27	77.4225641867774	M8	AB	0	16
28	79.9505047013276	M8	AB	0	16
29	82.3876355697352	M8	AB	0	16
30	84.7380069453061	M8	AB	0	16
31	87.0055455062136	M8	AB	0	16
32	89.1940360001809	M8	AB	0	16
33	91.3071100929438	M8	AB	0	16
34	93.348240599957	M8	AB	0	16
35	95.3207396553058	M8	AB	0	16
35	0	M8	AB	0	16
