Edad	Altura.dominante	thinning	varname	zone	cal
1	0.872867724578272	M4	Hdom	1	26
2	2.35111452318423	M4	Hdom	1	26
3	4.0927611808261	M4	Hdom	1	26
4	5.94616295085359	M4	Hdom	1	26
5	7.81972692073173	M4	Hdom	1	26
6	9.65625690187295	M4	Hdom	1	26
7	11.4209279508364	M4	Hdom	1	26
8	13.0939304349088	M4	Hdom	1	26
9	14.6655219959381	M4	Hdom	1	26
10	16.1326041199783	M4	Hdom	1	26
11	17.4963471660024	M4	Hdom	1	26
12	18.7605547603713	M4	Hdom	1	26
13	19.9305507864348	M4	Hdom	1	26
14	21.0124335683512	M4	Hdom	1	26
15	22.0125858359172	M4	Hdom	1	26
15	22.0125858359172	M4	Hdom	1	26
16	22.9373611587139	M4	Hdom	1	26
17	23.7928908775822	M4	Hdom	1	26
18	24.5849723639599	M4	Hdom	1	26
19	25.3190114093788	M4	Hdom	1	26
20	26	M4	Hdom	1	26
21	26.6325166538001	M4	Hdom	1	26
22	27.2207406218785	M4	Hdom	1	26
23	27.7684741109933	M4	Hdom	1	26
24	28.2791686518066	M4	Hdom	1	26
25	28.7559530857238	M4	Hdom	1	26
25	0	M4	Hdom	1	26
